Score,Company,Job_Title,Location,Work_Arrangement,Sector,Salary_USD,Job_Summary,URL,Score_Rationale,Times_Seen,First_Seen_Date,Last_Seen_Date,Status,Found_On,URL_Status,Applied_Date,Application_Method,Response_Status,Interview_Stage,Notes,Close_Reason,Posting_Age_Days
95,CVX,Chief of Staff CVX Ventures,"London, United Kingdom",In-Office,VC/Fintech,N/A,"Chief of Staff at a London-based venture capital firm. Supports investment operations, portfolio management, and strategic initiatives across the firm's venture activities.",https://job-boards.greenhouse.io/cvx/jobs/6690261003,VC/fintech (35); CoS at VC perfect match for Phil's VC + ops background (25); C-suite (20); London (10); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Greenhouse API,Open,,,,,,,
90,Forter,Director of Strategic Alliances,United States - Remote,Remote-US,Fintech/Fraud Prevention,N/A,"Director of Strategic Alliances at Forter, e-commerce fraud prevention. Builds alliances with PSPs, acquirers, and enterprise platforms across the payments stack.",https://job-boards.greenhouse.io/forter/jobs/8436236002,Fintech (35); Strategic Alliances (20); Director (20); Remote-US (10); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Greenhouse API,Open,,,,,,,
90,Unlimit,Head of Partnerships,London,In-Office,Fintech/Payments,N/A,"Leads partnership strategy and execution at Unlimit, a global fintech. Develops strategic alliances with banks, PSPs, and fintech ecosystem players. NOTE: Posted 2025-09-18 — may be stale.",https://jobs.lever.co/unlimit/b01c5d26-9123-438b-b7ad-b88821d9e034,Fintech/payments (35); Head of Partnerships strong match (20); Head (20); London (10); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Lever API,Open,,,,,,,
90,Unlimit,Regional Commercial Director (EU),Remote Europe,Remote-Europe,Fintech/Payments,N/A,"Leads commercial strategy and revenue growth across European markets for Unlimit. Drives GTM execution, enterprise sales, and strategic market expansion.",https://jobs.lever.co/unlimit/94f21b18-552b-4012-9121-afe6cd0cd9ed,Fintech/payments (35); Commercial Director (20); Director (20); Remote-Europe (10); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Lever API,Open,,,,,,,
87,Omnea,Founding GTM Lead,New York,In-Office,B2B SaaS,N/A,"Founding GTM Lead for Omnea's US launch. Owns US market entry, first-customer acquisition, and commercial playbook — a zero-to-one commercial build.",https://jobs.ashbyhq.com/omnea/afa164f5-39ab-4b41-bf2a-1674c3209dd2,B2B SaaS (30); Founding GTM perfect zero-to-one match (25); Head/Founding (20); NYC top-tier (7); N/A (5),1,2026-04-20,2026-04-20,NEW,Ashby API,Open,,,,,,,11
85,Deel,Senior Strategic Partnerships Manager - Oracle,UK,Remote-EMEA,Fintech/B2B SaaS,N/A,"Manages strategic partnership with Oracle at Deel, the global HR/payroll platform. Drives joint GTM, co-sell motions, and enterprise partnership expansion.",https://jobs.ashbyhq.com/deel/48e94e05-a0f7-4e19-a4a2-4a1fe2148114,Fintech/B2B SaaS (35); Strategic Partnerships (20); Senior Manager (15); UK (10); N/A (5),1,2026-04-20,2026-04-20,NEW,Ashby API,Open,,,,,,,5
85,Mercury,Staff Product Partnerships Manager - Mercury Bank,SF/NY/Portland/Remote-US,Remote-US,Fintech/Banking,N/A,"Leads product partnerships at Mercury, a fintech bank for startups. Integrates with ecosystem partners to expand Mercury's banking platform capabilities.",https://job-boards.greenhouse.io/mercury/jobs/5789886004,Fintech/banking (35); Product Partnerships strong match to JPM startup-bank build (20); Staff (15); Remote-US (10); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Greenhouse API,Open,,,,,,,
85,Omnea,Partnerships Director,London,In-Office,B2B SaaS,N/A,"Director of Partnerships at Omnea, a procurement B2B SaaS. Builds strategic alliances with systems integrators, ERPs, and enterprise channel partners.",https://jobs.ashbyhq.com/omnea/18551c5e-9fd3-4753-b99a-d6dd7a303725,B2B SaaS (30); Partnerships Director (20); Director (20); London (10); N/A (5),1,2026-04-20,2026-04-20,NEW,Ashby API,Open,,,,,,,13
85,SentiLink,Head of Business Development,Remote US,Remote-US,Fintech/Identity,N/A,"Head of BD at SentiLink, a fintech identity-verification company. Drives FI partnerships and commercial growth.",https://jobs.ashbyhq.com/sentilink/5a8d182d-3ffc-4ae6-92ec-78055d053c2d,Fintech (35); Head BD (20); Head (20); Remote-US (10); N/A (5). -5 date uncertain,1,2026-04-20,2026-04-20,NEW,Ashby,Open,,,,,,,9
82,Aircall,"Director, Forward Deployed Engineering & AI GTM Lead",New York,In-Office,B2B SaaS/AI,N/A,Director role at Aircall leading forward-deployed engineering and AI GTM. Owns commercial adoption of AI features in the call-center SaaS.,https://jobs.lever.co/aircall/af40e77c-554a-436b-b6cb-bf1eca20c9d7,B2B SaaS/AI (30); AI GTM Lead (20); Director (20); NYC top-tier (7); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Lever API,Open,,,,,,,
