source,company_slug,company_name,title,role_family,location,eligibility_summary,eligible_latam_mode,eligible_dc_mode,eligible_portugal_mode,latam_relevance,company_sector,company_stage,company_geography_hq,company_priority_tier,us_investor_signal,url,updated,ats,health_status,health_detail,posting_age_days,jd_fetch_status,jd_cache_path
api,remotecom,Remotecom,Global Payroll Implementation Country Lead - Germany,market_entry,Remote - DACH,"L?, D?, P?",unclear,unclear,unclear,direct,unknown,unknown,unknown,1,needs_verification,https://job-boards.greenhouse.io/remotecom/jobs/7735395003,2026-05-20T12:43:07-04:00,Greenhouse,open,api-live,,success,jd_cache/64301db3564e8a84.txt
api,remotecom,Remotecom,Global Payroll Implementation Country Lead - Germany,market_entry,Remote - EMEA,P,false,false,true,direct,unknown,unknown,unknown,1,needs_verification,https://job-boards.greenhouse.io/remotecom/jobs/7741670003,2026-05-20T12:43:21-04:00,Greenhouse,open,api-live,,success,jd_cache/6942018b9b8aad47.txt
api,gitlab,Gitlab,"Senior Program Manager, Enterprise Technology & AI",program,"Remote, Bangalore","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,1,needs_verification,https://job-boards.greenhouse.io/gitlab/jobs/8584282002,2026-07-06T08:34:18-04:00,Greenhouse,open,api-live,,success,jd_cache/0516b4bb5d9aae63.txt
api,gitlab,Gitlab,"Vice President, Finance Strategy & Operations",strategic_ops,"Remote, US","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,1,needs_verification,https://job-boards.greenhouse.io/gitlab/jobs/8467198002,2026-06-05T16:18:10-04:00,Greenhouse,open,api-live,,success,jd_cache/b1fbef6c443cfc44.txt
api,firecrawl,Firecrawl,Head of Growth Marketing,growth_commercial,"San Francisco, CA (Hybrid) OR Remote (Americas, UTC-3 to UTC-10)","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,2,needs_verification,https://jobs.ashbyhq.com/firecrawl/252206c1-56a2-4598-abef-d2ed9e2295de,2026-07-13T00:04:16.535+00:00,Ashby,open,api-live,,success,jd_cache/14ad0946e1c31f94.txt
api,pivotal-health,Pivotal Health,Client Strategy & Operations Manager,strategic_ops,Remote - NY,"L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,2,needs_verification,https://jobs.ashbyhq.com/pivotal-health/ce4e43d1-7add-408b-ae2d-c1205509527d,2026-05-20T22:25:49.748+00:00,Ashby,open,api-live,,success,jd_cache/00f0fa111ce5ea70.txt
api,nift,Nift,"General Manager, EMEA / UK ",market_entry,"Remote, UK","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/nift/jobs/4917411007,2026-01-13T16:05:47-05:00,Greenhouse,open,api-live,,success,jd_cache/61bf1cb46e9a777e.txt
api,coinbase,Coinbase,"Senior Program Manager, Contracts & Analytics",program,Remote - USA,"L, D, P?",true,true,unclear,none,unknown,unknown,unknown,3,needs_verification,https://www.coinbase.com/careers/positions/8008047?gh_jid=8008047,2026-06-17T22:01:46-04:00,Greenhouse,open,api-live,,http_error,
api,upwork,Upwork,"Sr Director, Corporate Development",growth_commercial,"Palo Alto, California, United States; Remote","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/upwork/jobs/7110133003,2026-05-11T14:20:37-04:00,Greenhouse,open,api-live,,success,jd_cache/4421f1e7876e2e3f.txt
api,apolloio,Apolloio,"Go-To-Market Engineer II, Mid-Market",growth_commercial,"Remote, United States","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/apolloio/jobs/5918855004,2026-07-06T18:51:37-04:00,Greenhouse,open,api-live,,success,jd_cache/52d4d3fd7ddd92f2.txt
