Status,Tier,Total,D1_Role,D2_Company,D3_Combo,Archetype,Score_Source,Company,Job_Title,Role_Family,Location,URL,Rationale_One_Line,URL_Status,Close_Reason,Posting_Age_Days
NEW,Borderline,6,3,1,2,unclear,snippet,Whoop,Deputy Chief of Staff at Whoop,chief_of_staff,Defense,https://jobs.lever.co/whoop/02aafcfb-4b00-452b-8869-28bb84f40a9d,"[snippet-only, verify before applying] Direct CoS hit; sector:defense_tech; combo helps: chief of staff+defense",Open,,
NEW,Borderline,5,1,1,3,builder_leaning,snippet,EBANX,Country Manager Peru at EBANX,market_entry,—,https://job-boards.greenhouse.io/ebanx/jobs/7680853003,"[snippet-only, verify before applying] Market entry role; partial fit; sector:fintech,market_entry_svcs; combo headline: country manager+payments",Open,,
NEW,Borderline,5,3,1,1,unclear,snippet,Decibel Foundation,Chief of Staff (Decibel) at Decibel Foundation,chief_of_staff,—,https://job-boards.greenhouse.io/decibelfoundation/jobs/4632324005,"[snippet-only, verify before applying] Direct CoS hit at early-stage / founder's office; VC-backed/scaling; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Borderline,5,3,1,1,unclear,snippet,Downing Capital Group,Chief of Staff (Remote) at Downing Capital Group,chief_of_staff,Remote,https://job-boards.greenhouse.io/downingcapitalgroup/jobs/4616229007,"[snippet-only, verify before applying] Direct CoS hit; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Borderline,5,3,1,1,builder_leaning,snippet,Everpure,Country Manager - Brazil at Everpure,market_entry,Brazil,https://job-boards.greenhouse.io/purestorage/jobs/7825102,"[snippet-only, verify before applying] Market-entry role in Lusophone corridor (Joey's language asset); sector:market_entry_svcs; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Borderline,5,3,1,1,unclear,snippet,Koah,Chief of Staff at Koah,chief_of_staff,—,https://jobs.ashbyhq.com/koahlabs/5eb9030b-5531-4b49-896a-31d56822ee3c,"[snippet-only, verify before applying] Direct CoS hit at early-stage / founder's office; VC-backed/scaling; combo neutral; Joey could do this role but the combo isn't the headline",Open,,29
NEW,Borderline,5,3,1,1,unclear,snippet,Pattern,Director of Strategy at Pattern,strategy_ops,Remote,https://jobs.lever.co/pattern/5482eddc-0322-4fa0-9a33-1e1c4a20ad0d,"[snippet-only, verify before applying] Direct Strategy/Ops director-level hit; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Borderline,5,3,1,1,unclear,snippet,Radiant Industries,Chief of Staff (Chief Nuclear Officer / Gov Affairs) at Radiant Industries,chief_of_staff,DC,https://jobs.ashbyhq.com/radiant-industries/e0e82ba9-a533-417c-98ff-dfaec3ae407e,"[snippet-only, verify before applying] Direct CoS hit; sector:defense_tech,industrials_energy; combo neutral; Joey could do this role but the combo isn't the headline",Open,,32
NEW,Borderline,5,3,1,1,unclear,snippet,Saviynt,"Senior Director, Strategy at Saviynt",strategy_ops,EMEA; Remote,https://jobs.lever.co/saviynt/1cb329fb-f980-4730-aae8-a65fbd77b6db,"[snippet-only, verify before applying] Direct Strategy/Ops director-level hit; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Borderline,5,3,1,1,unclear,snippet,Transcarent,Chief of Staff at Transcarent,chief_of_staff,Remote,https://job-boards.greenhouse.io/transcarent/jobs/5690641004,"[snippet-only, verify before applying] Direct CoS hit; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Error,HTTP 302,
