source,company_slug,company_name,title,role_family,location,eligibility_summary,eligible_latam_mode,eligible_dc_mode,eligible_portugal_mode,latam_relevance,company_sector,company_stage,company_geography_hq,company_priority_tier,us_investor_signal,url,updated,ats,health_status,health_detail,posting_age_days,jd_fetch_status,jd_cache_path,found_via,status
api,aledade,Aledade,"Director, Payer Go-To-Market (GTM), Remote",growth_commercial,"Remote, United States","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://jobs.lever.co/aledade/660b03e4-e1db-4ac2-bb9e-c74666f52189,2026-07-07T12:00:31.868000,Lever,open,api-live,,success,jd_cache/c70c44df4ecea1de.txt,api,REPEAT
api,apolloio,Apolloio,"Go-To-Market Engineer I, SMB",growth_commercial,"Remote, United States","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/apolloio/jobs/5778017004,2026-07-06T18:51:37-04:00,Greenhouse,open,api-live,,success,jd_cache/44f748fbd9b679ad.txt,api,REPEAT
api,apolloio,Apolloio,"Go-To-Market Engineer II, Mid-Market",growth_commercial,"Remote, United States","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/apolloio/jobs/5918855004,2026-07-06T18:51:37-04:00,Greenhouse,open,api-live,,success,jd_cache/52d4d3fd7ddd92f2.txt,api,REPEAT
portfolio_board:qed-investors,caribou,Caribou,"Senior Manager, Go-To-Market Operations & Sales Tools",growth_commercial,"Chicago, IL, Denver, CO, Phoenix, AZ, Remote, US","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/caribou/jobs/7801514003,2026-07-10T15:04:27Z,,open,,,success,jd_cache/4bc951a8358c0c77.txt,portfolio_board:qed-investors,REPEAT
api,firecrawl,Firecrawl,Head of Growth Marketing,growth_commercial,"San Francisco, CA (Hybrid) OR Remote (Americas, UTC-3 to UTC-10)","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,2,needs_verification,https://jobs.ashbyhq.com/firecrawl/252206c1-56a2-4598-abef-d2ed9e2295de,2026-07-13T00:04:16.535+00:00,Ashby,open,api-live,,success,jd_cache/14ad0946e1c31f94.txt,api,REPEAT
api,gitlab,Gitlab,"Senior Program Manager, Enterprise Technology & AI",program,"Remote, Bangalore","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,1,needs_verification,https://job-boards.greenhouse.io/gitlab/jobs/8584282002,2026-07-06T08:34:18-04:00,Greenhouse,open,api-live,,success,jd_cache/0516b4bb5d9aae63.txt,api,REPEAT
api,gitlab,Gitlab,"Vice President, Finance Strategy & Operations",strategic_ops,"Remote, US","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,1,needs_verification,https://job-boards.greenhouse.io/gitlab/jobs/8467198002,2026-06-05T16:18:10-04:00,Greenhouse,open,api-live,,success,jd_cache/b1fbef6c443cfc44.txt,api,REPEAT
api,includedhealth,Includedhealth,Go-To-Market Enablement Manager,growth_commercial,Remote,"L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://jobs.lever.co/includedhealth/e5475693-8b26-4166-ad01-db9bcbbf2f96,2026-06-26T15:26:50.581000,Lever,open,api-live,,success,jd_cache/9f6400b899262c75.txt,api,REPEAT
api,nift,Nift,"General Manager, EMEA / UK ",market_entry,"Remote, UK","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/nift/jobs/4917411007,2026-01-13T16:05:47-05:00,Greenhouse,open,api-live,,success,jd_cache/61bf1cb46e9a777e.txt,api,REPEAT
api,pivotal-health,Pivotal Health,Client Strategy & Operations Manager,strategic_ops,Remote - NY,"L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,2,needs_verification,https://jobs.ashbyhq.com/pivotal-health/ce4e43d1-7add-408b-ae2d-c1205509527d,2026-05-20T22:25:49.748+00:00,Ashby,open,api-live,,success,jd_cache/00f0fa111ce5ea70.txt,api,REPEAT
