Filename,Size,Date_Modified,Purpose,Suggested_Category,Suggested_New_Name,Notes
Weekly_BA_CDMX_Search.md,2769 bytes,2026-02-04,"Weekly multi-board search template for CoS and Partnerships roles in Buenos Aires and Mexico City. Includes scoring criteria, deduplication rules, and output file specs.",Template,Template_Weekly_Multi-Board_CoS-Partnerships_BA-CDMX.md,Well-structured template. Good naming convention. Could add Ashby to filename.
Bogota_Manila_CoS-Template_Feb26.md,3545 bytes,2026-02-03,"Weekly multi-board search template for Partnerships and CoS roles in Bogota and Manila. Includes scoring matrix, field extraction specs, and comparison requirements.",Template,Template_Weekly_Greenhouse-Lever_CoS-Partnerships_Bogota-Manila.md,Good template but .md extension inconsistent with some other templates (.rtf). Consider standardizing format.
Refined Search 1-30.rtf,1016 bytes,2026-01-30,"Daily search prompt for CoS positions on Greenhouse and Lever. Remote only, last 24 hours. Basic scoring criteria included.",Daily,Daily_Greenhouse-Lever_CoS_Remote.md,RTF format should be converted to .md for consistency. Bare-bones prompt - could benefit from more detail.
prompt_library.md.rtf,9619 bytes,2026-02-04,"Master collection of job search prompts including Multi-Board Partnership Search template. Serves as prompt reference document.",Archive,Archive_Prompt_Library_Master.md,DUPLICATE CONTENT: Contains same prompts as individual template files. RTF format inconsistent. Consider consolidating or removing.
Prompt_Library/Greenhouse_COSsearch_2026-1-28.txt,3283 bytes,2026-01-28,"Detailed template for Greenhouse-only CoS search with alternative search parameters documented. Includes location and role options.",Template,Template_Daily_Greenhouse_CoS_Remote.md,Well-documented template with alternatives. Good format. Move to root templates folder.
Prompt_Library/Multi-Board Partnership Search_Bogota_Manila.rtf,4363 bytes,2026-02-04,"Weekly multi-board partnership search for Philippines/Colombia. Includes detailed prompt and results file reference.",Template,Template_Weekly_Multi-Board_Partnerships_Bogota-Manila.md,"DUPLICATE: Same content as Bogota_Manila_CoS-Template_Feb26.md. RTF format. DELETE or consolidate."
Prompt_Library/Weekly Multi-Board Job Search with Resume Scoring.rtf,4812 bytes,2026-02-04,"Generic weekly multi-board search template with resume scoring. Designed for Sunday execution. Includes runtime estimates.",Template,Template_Weekly_Multi-Board_Generic_Resume-Scoring.md,Generic version of location-specific templates. Good master template but RTF format inconsistent.
Week_of_1-26/Greenhouse_COS_1-28.txt,958 bytes,2026-01-28,"Search results: Greenhouse CoS Remote positions from Jan 28. Contains 3 job listings (Earnest, Abnormal AI, EdReports).",One-Off,Results_2026-01-28_Greenhouse_CoS_Remote.csv,"DUPLICATE: Nearly identical to Greenhouse_COS_1-28-26.txt (1 hour difference). Convert to CSV and archive one."
Week_of_1-26/Greenhouse_COS_1-28-26.txt,908 bytes,2026-01-28,"Search results: Greenhouse CoS Remote positions from Jan 28. Contains same 3 listings as sibling file.",One-Off,DELETE - Duplicate,DUPLICATE: Same search results as Greenhouse_COS_1-28.txt. DELETE this file.
Week_of_1-26/Greenhouse_COS_1-29-26.txt,533 bytes,2026-01-29,"Search results: Greenhouse CoS Remote positions from Jan 29. Only 1 result (Remote.com GTM Strategy Principal).",One-Off,Results_2026-01-29_Greenhouse_CoS_Remote.csv,Sparse results. Convert to CSV format for consistency.
