Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On,First_Seen_Date,Last_Seen_Date,Times_Seen,Search_Sources,Interest,Interest_Notes,Applied_Date,Response,Response_Date
REPEAT,95,Partnerships role aligns with Anzu BD/JPM ecosystem dev; Strong fintech/payments sector fit,VGS,Sr. Manager of Strategic Partnerships,Fintech/Payments,Remote,N/A,Remote-US,N/A,Owns portfolio of high-impact partnerships driving cross-functional initiatives at payment tokenization leader.,https://jobs.lever.co/verygoodsecurity/2ae7986d-7b83-43b7-93b6-d1999b484812,Open,Lever,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,95,Direct CoS match; AI sector aligns with AI automation skills (+5 bonus),Cambio AI,Chief of Staff,AI/Tech,Remote,N/A,Remote-US,N/A,"Strategic partner to executive team, leading cross-functional initiatives at AI company.",https://jobs.ashbyhq.com/cambio/c84db9fb-1c21-4d33-84b3-19654c7b7110,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,94,Direct CoS match (exec support at Anzu/JPM); Strong fintech/finance sector fit (JPM/SVB background),Coinbase,Chief of Staff to the COO,Crypto/Fintech,Remote - US,N/A,Remote,N/A,"Force multiplier for COO, ensuring priorities are advanced and time focused on highest-impact areas at leading crypto exchange. Some in-person participation required.",https://boards.greenhouse.io/coinbase/jobs/7298274,Blocked,Greenhouse,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,94,Direct CoS match; Industrial tech sector aligns with defense/industrial experience (+5 bonus),Samsara,"Chief of Staff, Head of Business Operations",IoT/Industrial Tech,Remote - US,N/A,Remote-US,N/A,Chief of Staff and Head of Business Operations at IoT platform for physical operations. Supports executive team.,https://boards.greenhouse.io/samsara/jobs/7543674,Open,Greenhouse,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,93,Partnerships role aligns with Anzu BD/JPM ecosystem dev; Fintech sector strong fit (+5 bonus),Sardine,Cloud Partnerships Manager,Fintech/Fraud Prevention,Remote,N/A,Remote-US,N/A,Cloud Partnerships Manager at fraud prevention and AML compliance leader. 300+ banks and fintechs use Sardine.,https://jobs.ashbyhq.com/sardine/a8585d40-deed-44e3-a6a2-bc247a2fa1d5,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,93,Partnerships role aligns; Fintech sector strong fit (+5 bonus),Sardine,Product Partnerships Manager,Fintech/Fraud Prevention,Remote,N/A,Remote-US,N/A,Product Partnerships Manager at fraud prevention/AML compliance leader. Remote-first work culture.,https://jobs.ashbyhq.com/sardine/aa71755c-ebe5-40ce-b2ca-11f94816be52,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,93,Partnerships role aligns; Strong fintech sector fit (+5 bonus); YC/top-tier VC backing,Middesk,Strategic Partnerships Manager,Fintech/Identity,Remote,N/A,Remote-US,N/A,"Owns and grows critical partnerships including referral and reseller relationships at YC-backed, Sequoia/Accel-backed identity verification company.",https://jobs.ashbyhq.com/middesk/e0784d39-9d29-4b85-91ad-26cf3c406565,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,93,Partnerships role aligns; Banking infrastructure directly matches JPM/SVB experience (+5 bonus),Column,Strategic Partnerships Lead,Fintech/Banking Infrastructure,Remote,N/A,Remote-US,N/A,"Strategic Partnerships Lead at Column, a bank and software company offering technology-forward banking solutions.",https://jobs.ashbyhq.com/column/83c71171-e327-45e2-8b58-cfe5ee16209a,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,92,Partnerships leadership aligns with Anzu BD; AI sector aligns (+5 bonus); Building from ground up matches startup experience,Neuroscale AI,Director of Strategic Partnerships & Alliances,AI/Tech,Remote,N/A,Remote-US,N/A,Building partner-led revenue engine from ground up at AI company scaling go-to-market efforts.,https://jobs.ashbyhq.com/neuroscale/66d227bf-c29c-48b3-8085-3c55b32a6646,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
REPEAT,92,Strategy/ops leadership aligns with Anzu/JPM/DoD; AI sector aligns (+5 bonus),Sentient,Director of Operations/Strategy,AI/Tech,Remote,N/A,Remote-US,N/A,"Strategic and operational leader supporting cofounder. Company-wide planning, cross-functional coordination, executive-level initiatives.",https://jobs.ashbyhq.com/sentient/26ee8da3-2022-41ba-9230-86e98be52124,Open,Ashby,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
NEW,92,"Direct CoS match; Frontier AI/ML company with $107M funding from NVIDIA, NEA (+5 AI bonus); Cross-functional leadership across Product, Engineering, Sales aligns with Anzu/JPM experience",Twelve Labs,Chief of Staff,AI/Tech,"San Francisco, CA",N/A,In-Office,"$152,000 - $194,000","Chief of Staff at Twelve Labs, a multimodal AI company. Supports CEO with strategic planning, investor relations, partnerships, and high-priority business initiatives.",https://jobs.ashbyhq.com/twelve-labs/e03b4858-af75-4842-8391-e97993c78d91,Open,Ashby,2026-02-02,2026-02-23,2,"2026-02-02, 2026-02-23",,,,,
NEW,91,Partnerships role aligns with Anzu capital formation/BD and JPM ecosystem dev; Strong fintech/finance sector fit (JPM/SVB background); Senior-level matches SVP/VP experience; Spanish requirement aligns with beginner Spanish skills,Jeeves,Head of Global Partnerships,Fintech,Remote - Americas,Spanish,Remote,N/A,"Head of Global Partnerships architecting, leading, and scaling partner ecosystem across North America, LATAM (BR, MX, CO), and EMEA. Requires English/Portuguese fluency, Spanish strongly preferred.",https://jobs.lever.co/tryjeeves/f0faf387-8d07-4784-ba28-acae4a16d70a,Open,Lever,2026-02-09,2026-02-23,3,"2026-02-09, 2026-02-16, 2026-02-23",,,,,
