Score,Company,Job_Title,Location,Work_Arrangement,Sector,Salary_USD,Job_Summary,URL,Score_Rationale,Times_Seen,First_Seen_Date,Last_Seen_Date,Status,Found_On,URL_Status,Applied_Date,Application_Method,Response_Status,Interview_Stage,Notes
95,Coinbase,Chief of Staff to the COO,Remote - USA,Remote-US,Crypto/Fintech,N/A,"Chief of Staff to the COO at a leading crypto exchange. Oversees strategic operations, cross-functional initiatives, and executive communications for the COO's office.",https://www.coinbase.com/careers/positions/7298274?gh_jid=7298274,Crypto/fintech (35); CoS role exact match to Phil's ops/VC/zero-to-one background (25); C-suite level (20); Remote-US (10); Salary N/A (5),1,2026-03-30,2026-03-30,NEW,Greenhouse API,API-Verified,,,,,
95,Stripe,"Chief Of Staff, Enterprise Sales",Remote,Remote-US,Fintech/Payments,N/A,"Chief of Staff to Enterprise Sales leadership at Stripe. Drives strategic planning, operational rigor, and cross-functional execution for Stripe's enterprise go-to-market.",https://stripe.com/jobs/search?gh_jid=7587387,Fintech/payments (35); CoS role exact match (25); C-suite level (20); Remote (10); Salary N/A (5),1,2026-03-30,2026-03-30,NEW,Greenhouse API,API-Verified,,,,,
95,CVX,Chief of Staff CVX Ventures,"London, United Kingdom",In-Office,VC/Fintech,N/A,"Chief of Staff at a London-based venture capital firm. Supports investment operations, portfolio management, and strategic initiatives across the firm's venture activities.",https://job-boards.greenhouse.io/cvx/jobs/6690261003,"VC/fintech (35); CoS at VC firm, perfect match for Phil's VC + ops background (25); C-suite level (20); London (10); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
95,Apron,Chief of Staff,London,In-Office,Fintech/Payments,N/A,"Chief of Staff at Apron, a fintech payments startup. Drives strategic operations, cross-functional coordination, and executive decision support in a fast-growth environment.",https://jobs.ashbyhq.com/apron/fbf9d3f5-e0a9-4b74-9959-ded18d7b956c,Fintech/payments (35); CoS exact match to Phil's zero-to-one + ops background (25); C-suite level (20); London (10); Salary N/A (5),2,2026-03-16,2026-03-30,REPEAT,Ashby API,API-Verified,,,,,
90,Deel,Senior VC Partnerships Manager,UK,Remote-EMEA,Fintech/B2B SaaS,N/A,Manages VC partnership ecosystem at Deel. Builds and scales relationships with venture capital firms to drive startup acquisition and ecosystem development.,https://jobs.ashbyhq.com/deel/3716fd71-c4b4-4e3d-abe6-bf4c71a362dc,"Fintech/B2B SaaS (35); VC Partnerships, strong match to Phil's VC + partnership background (25); Senior Manager (15); UK (10); Salary N/A (5)",1,2026-03-30,2026-03-30,NEW,Ashby API,API-Verified,,,,,
90,Unlimit,Head of Partnerships,London,In-Office,Fintech/Payments,N/A,"Leads partnership strategy and execution at Unlimit, a global fintech. Develops strategic alliances with banks, PSPs, and fintech ecosystem players.",https://jobs.lever.co/unlimit/b01c5d26-9123-438b-b7ad-b88821d9e034,"Fintech/payments (35); Head of Partnerships, strong match (20); Head level (20); London (10); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Lever API,API-Verified,,,,,
90,Unlimit,Regional Commercial Director (EU),Remote Europe,Remote-Europe,Fintech/Payments,N/A,"Leads commercial strategy and revenue growth across European markets for Unlimit. Drives GTM execution, enterprise sales, and strategic market expansion.",https://jobs.lever.co/unlimit/94f21b18-552b-4012-9121-afe6cd0cd9ed,"Fintech/payments (35); Commercial Director, strong GTM/commercial match (20); Director level (20); Remote Europe (10); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Lever API,API-Verified,,,,,
90,Capital.com,Operational Director/Chief of Staff,"London, England",In-Office,Fintech/Trading,N/A,"Chief of Staff / Operational Director at Capital.com, a leading fintech trading platform. Drives strategic operations, cross-functional leadership, and commercial execution.",https://jobs.lever.co/capital/a9d8380f-d02b-4e38-aa3a-fa895b94d125,"Fintech (35); CoS/Ops Director, excellent match (20); Director level (20); London (10); Salary N/A (5)",1,2026-03-30,2026-03-30,NEW,Lever,Not Checked,,,,,
88,Checkout.com,Chief of Staff to CMO,"London, UK",In-Office,Fintech/Payments,N/A,"Chief of Staff to the CMO at Checkout.com, a leading payments processor. Supports marketing leadership with strategic planning and cross-functional execution.",https://www.efinancialcareers.co.uk/jobs-UK-London-Chief_of_Staff_to_CMO.id24041515,"Fintech/payments (35); CoS role, strong match (20); C-suite support (20); London (10); Salary N/A (5). Slight deduction: CMO-focused rather than commercial ops.",1,2026-03-30,2026-03-30,NEW,eFinancialCareers,Not Checked,,,,,
88,Airwallex,"Chief of Staff, CEO","London, UK",In-Office,Fintech/Payments,N/A,"Chief of Staff to the CEO at Airwallex, a global payments and financial infrastructure company. Drives strategic initiatives, operational execution, and cross-functional leadership.",https://www.efinancialcareers.co.uk/jobs-UK-London-Chief_of_Staff_CEO.id21251692,"Fintech/payments (35); CoS to CEO, excellent match (23); C-suite level (20); London (10); Salary N/A (5). Deducted 2 for potentially stale listing.",1,2026-03-30,2026-03-30,NEW,eFinancialCareers,Not Checked,,,,,
