Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On
NEW,87,"Excellent D2C creative strategy fit with direct overlap on brand strategy, insight-led research, visual storytelling, and creative direction. Portugal listed as eligible location. Timezone constraint (must align 3-4 hours with Singapore GMT+8) reduces location score slightly.",Maneuver Marketing,Creative Strategist,D2C Health & Wellness,Remote (Portugal eligible),N/A,Remote-Global,N/A,"Drive high-converting, performance-driven creative assets for a $100M+ DTC supplements brand. Conduct in-depth visual research, develop creative testing strategies, manage ideation and execution of digital advertising assets across Meta platforms, and research competitor ad strategies. 5+ years in creative DTC advertising required.",https://jobs.ashbyhq.com/maneuver-marketing/d5f90b21-1fcd-4503-8af9-899db0e1cf06,Verified,Ashby
NEW,85,"Location: 30/30 (Remote-Global); Skills: 25/25 (Brand strategy, creative direction, insight-led research, messaging frameworks, stakeholder comms, design literacy); Industry: 20/20 (Creative agency); Salary: 12/15 (N/A); Seniority: 10/10 (Manager/Lead level)",Jobandtalent,Director Brand Marketing,Creative Agency,Remote-Global,English,Remote-Global,"€120,000-€140,000 (approx)","Reports to SVP Brand and Communication. Drive awareness and recognition across 9+ markets in Europe, LATAM and US. Build distinct brand while creating strong brand experiences through sponsorships and TV activations. Remote-first company with team camps across Europe. Annual learning budget €1,000.",https://jobs.lever.co/jobandtalent/af7df888-3a4a-49ef-99d4-653c2ad369e8,Active,jobs.lever.co
NEW,84,"Strong brand strategy alignment as a player-coach Head of Marketing role in Lisbon. Covers brand and product marketing, creative studio, social media, influencer marketing, and PR. Consumer tech brand with 25M+ MAU. Head-level may be a stretch for 8 years experience but player-coach framing suggests hands-on work.",Goodnotes,Head of Marketing,Consumer Tech / Productivity,"Lisbon, Portugal",N/A,Hybrid,N/A,"Lead the Marketing function as a strategic leader and hands-on executor across Brand and Product Marketing, including creative studio, local marketing, social media & influencer marketing, and PR. Drive creative campaigns and collaborate cross-functionally to elevate Goodnotes' global presence. Reports directly to leadership.",https://job-boards.greenhouse.io/goodnotes/jobs/5588098004,Verified,Greenhouse
NEW,84,"Lisbon-based fintech with strong overlap on brand positioning, messaging frameworks, and value propositions — core PMM skills that align directly with Rosalind's brand strategy experience. First PMM hire gives ownership and strategic influence. Fintech sector is outside target D2C/agency but has strong brand focus.",GetGround,Senior Product Marketing Manager - Fintech,Fintech / Proptech,"Lisbon, Portugal",N/A,Hybrid,N/A,"As the first PMM for GetGround Lisbon, own the product proposition and set product marketing best practices across the full product lifecycle. Define messaging and GTM strategy, launch features, and drive sustained adoption. Work closely with VP Product and team of PMs and Designers. Post-Series A from QED and Mosaic.",https://boards.greenhouse.io/getground/jobs/4139448004,Verified,Greenhouse
NEW,83,"Strong D2C creative strategy fit with CET timezone alignment (ideal for Lisbon). Owns creative pipeline from research to ad ideation and delivery for a Swiss D2C consumer brand. Skills overlap on creative strategy, competitive research, and team briefing. Salary range of $2-3K/month is significantly below market.",Talo,Creative Strategist,D2C Consumer Goods (Cleaning),Remote (European Economic Area),German (huge plus but not required),Remote-Global,"$24,000-$36,000/yr","Own the full creative pipeline for a fast-growing Swiss D2C cleaning brand — from competitor research to ad ideation, team briefing, and final delivery. Plan, brief, and produce high-performing Meta ad creatives. Lead a small creative team (copywriter, media buyer). CET timezone, 40hrs/week, plus 1% profit share.",https://www.linkedin.com/jobs/view/creative-strategist-at-talo-ai-4272176134,Unverified,LinkedIn
NEW,82,"Lisbon office option with integrated campaign strategy work across brand awareness and demand gen. Cross-functional collaboration with Design Studio, Product Marketing, and Creative teams overlaps with Rosalind's multi-stakeholder experience. B2B SaaS spend management sector rather than D2C, but involves brand-building.",Pleo,Integrated Campaigns Manager,B2B SaaS / Fintech,"Europe (London, Lisbon, Madrid, Copenhagen, Stockholm)",N/A,Hybrid,N/A,"Lead creation of strategic, integrated marketing programs supporting Pleo's growth. Develop campaigns across email, social, website, video, events, and full-funnel collateral. Collaborate with Design Studio, Product Marketing, Performance, SEO, and Field Marketing teams. Reports to Head of Growth Marketing & Demand Gen. 500+ team across 54 nations.",https://boards.greenhouse.io/pleo/jobs/4834700003,Verified,Greenhouse
NEW,82,"Location: 30/30 (Remote-Global); Skills: 25/25 (Brand strategy, creative direction, design literacy, workshop facilitation, stakeholder comms); Industry: 20/20 (Creative agency); Salary: 12/15 (N/A); Seniority: 10/10 (Manager/Lead level)",How&How,Brand Strategist,Creative Agency,London/Lisbon,English,Hybrid (London/Lisbon offices),"€55,000-€70,000 (est.)","Translate data and insights into actionable recommendations for creative team and clients. Work at intersection of strategy and creative execution. Talent-driven, creative culture. 11 full-time team. Works with tech and sustainability-focused brands.",https://www.ifyoucouldjobs.com/jobs/5726307320,Active,ifyoucouldjobs.com
NEW,80,"Location: 25/30 (Remote-Europe); Skills: 23/25 (Brand strategy, creative direction, campaign execution, messaging, stakeholder comms - limited design literacy); Industry: 20/20 (D2C brands); Salary: 15/15 (€1,500-€3,000/mo competitive); Seniority: 10/10 (Manager level)",Foxelli Group,Brand Manager - DTC E-commerce,D2C Brands,Remote-Europe (EET timezone),English,Remote-Europe,"€18,000-€36,000 (annually after-tax equivalent)","Own full-stack marketing role from ideation to sales execution. Bridge between marketing, design, development. Turn customer insights into landing pages, funnels, campaigns. Build brands generating €20M+ annually. Requires 5+ hours EET overlap.",https://foxelligroup.recruitee.com/o/e-commerce-brand-manager-2,Active,recruitee.com
NEW,79,"Location: 25/30 (Remote-Europe); Skills: 22/25 (Creative direction, campaign development, performance analysis, brand strategy); Industry: 20/20 (D2C brands); Salary: 12/15 (N/A listed); Seniority: 8/10 (Lead level)",Foxelli Group,Marketing Manager - DTC E-commerce,D2C Brands,Remote-Europe (EET timezone),English,Remote-Europe,"€18,000-€36,000 (annually after-tax equivalent)","Full-stack marketing ownership. Think big, move fast. Bridge between marketing, design, development. Turn insights into landing pages, funnels, campaigns. Work in EET timezone. Foxelli builds D2C brands with €20M+ annual revenue.",https://nploy.net/jobs/marketing-and-communications-pr/remote-multiple-locations/marketing-manager-or-dtc-e-commerce-or-100percent-remote-eu1770889177/217527-X,Active,nPloy
NEW,78,"Location: 30/30 (Remote-Global); Skills: 20/25 (Performance creative analysis, campaign development, brief execution - limited strategy depth); Industry: 15/20 (Consumer tech/performance focus); Salary: 15/15 ($67,900-$102,100 range); Seniority: 10/10 (Senior/Manager level)",Monks,"Senior Creative Strategist, Performance Creative",Performance Marketing Agency,Remote (US/Global),English,Remote-Global,"$67,900-$102,100","Report to Director of Creative Strategy. Lead creative conversation with clients. Improve performance through testing and cultural insights. Weekly/monthly reporting, concept briefing, creative testing expertise. 3-5+ years client-facing strategic role required. Facebook, Instagram, TikTok, LinkedIn mandatory.",https://job-boards.greenhouse.io/monks/jobs/5697740004,Active,greenhouse.io
