Score,Company,Job_Title,Location,Work_Arrangement,Salary,URL,Posted_Date,Board,Role_Category,Sector,Score_Rationale,Source_Date,Search_Batch,Found_On,First_Seen_Date,Last_Seen_Date,Times_Seen,Status,Interest,Interest_Notes,Applied_Date
84,Air Space Intelligence,Growth Lead (Defense),TBD,In-Office,,https://jobs.ashbyhq.com/airspace-intelligence.com/ea1a78fd-21c2-47e0-bf81-8d87e7e969ac,N/A,Ashby,,Defense Tech/AI,Growth Lead level (25 seniority); defense BD/capture strategy leverages IB deal and relationship skills (25 skills); location unknown (10 location est); defense AI = full 15/15 industry; salary N/A (5 salary); ASI serves airlines + US/allied government,2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
95,Albedo Space,"Head of Business Development, US Government","Washington, DC",On-site,,https://www.albedo.com/,N/A,Albedo Careers,,Defense Tech/Satellite Imagery,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Albedo Careers,2026-02-16,2026-02-16,1,NEW,,,
76,Aleph Alpha,VP Finance,Europe (Germany),In-Office,,https://jobs.ashbyhq.com/AlephAlpha/0eb7fb31-333e-4946-beb6-3fc03554a629,N/A,Ashby,,AI/Tech (European),"VP of Finance (25 seniority); finance leadership at AI company (20 skills); European company, likely EU-based (5 location); AI with European sovereignty/defense angle (13 industry); salary N/A (5 salary); Aleph Alpha has $65M+ funding, strong government ties",2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
100,Anduril Industries,"VP, Business Development - Federal","Washington, DC",On-site,"$220,000 - $300,000",https://www.anduril.com/careers,N/A,Anduril Careers,,Defense Tech/Autonomy,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Anduril Careers,2026-02-16,2026-02-16,1,NEW,,,
91,Anduril,"Head of Finance, Air Dominance & Strike","Costa Mesa, CA / Washington, DC",In-Office,N/A (competitive equity),https://jobs.revolution.com/companies/anduril/jobs/47695852-head-of-finance-air-dominance-strike,N/A,Greenhouse,,Defense Tech,"Head-of-level defense finance (30 seniority); de facto CFO of largest division, capital markets/pricing models directly leverage IB skills (25 skills); likely Costa Mesa/DC (10 location); defense tech = full credit (15 industry); strong equity comp likely $250K+ TC (8 salary); Anduril $60B valuation, fastest-growing division",2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
90,Anduril,"Head of Finance, Maritime and Maneuver Dominance","Costa Mesa, CA / Washington, DC",In-Office,N/A (competitive equity),https://www.linkedin.com/jobs/view/head-of-finance-maritime-and-maneuver-dominance-at-anduril-industries-4369269601,N/A,LinkedIn,,Defense Tech,Head-of-level defense finance (30 seniority); division CFO role leverages IB financial advisory skills (25 skills); likely Costa Mesa/DC (10 location); defense tech (15 industry); strong equity comp (8 salary); maritime/maneuver aligns with infrastructure policy background,2026-02-16,Batch_Week_216,LinkedIn,2026-02-16,2026-02-16,1,NEW,,,
88,Anthropic,Head of Capital Markets & Corporate Development,"San Francisco, CA",In-Office,,https://boards.greenhouse.io/anthropic/jobs/4413874008,N/A,Greenhouse,,AI/Tech,"Head-of level capital markets + corporate dev (30 seniority); M&A, investor relations, capital markets strategy = exact IB skill set (25 skills); SF location (5 location); AI with potential defense contracts = 15/15 industry credit; salary likely $300K+ (8 salary); Anthropic is leading AI safety company",2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
87,Anthropic,Head of Finance and Strategy,"San Francisco, CA",In-Office,,https://boards.greenhouse.io/anthropic/jobs/4086686008,N/A,Greenhouse,,AI/Tech,"Head-of level finance and strategy (30 seniority); strategic finance, FP&A, IB background explicitly valued (25 skills); SF location (5 location); AI/ML = 10/15 industry; salary likely $300K+ (8 salary); requires 15-20+ years progressive experience matching Vivienne's profile",2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
85,Apex Technology,"Business Development Director, US Government Markets",TBD (likely DC area),In-Office,,https://jobs.ashbyhq.com/apex-technology-inc/8adac218-5190-4ea6-997a-170a154d0cef,N/A,Ashby,,Aerospace/Defense,Director-level government BD (30 seniority); BD/government market expansion leverages IB strategic skills (25 skills); location likely DC (15 location est); aerospace/defense = 15/15 industry; salary N/A (5 salary); satellite manufacturing at scale,2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
93,Applied Intuition Defense,Growth Lead - Ground Defense,"Washington, DC",On-site,"$175,000 - $225,000","https://www.ziprecruiter.com/c/Applied-Intuition/Job/Growth-Lead-Ground-Defense/-in-Washington,DC",N/A,ZipRecruiter,,Defense Tech/Autonomy,VP/Senior Manager track; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,ZipRecruiter,2026-02-16,2026-02-16,1,NEW,,,
