Score,Company,Job_Title,Location,Work_Arrangement,Sector,Salary_USD,Job_Summary,URL,Score_Rationale,Times_Seen,First_Seen_Date,Last_Seen_Date,Status,Found_On,URL_Status,Applied_Date,Application_Method,Response_Status,Interview_Stage,Notes,Close_Reason,Posting_Age_Days
95,Saronic,Director of Accounting Operations,"Austin, Texas",In-Office,Defense Tech,N/A,[ATS API] Operator archetype role at Saronic. Found via direct Lever API query.,https://jobs.lever.co/saronic/8f98fe4b-edb9-4f3e-892c-ac0e3658f74e,"senior-level match (30/30); strong skills alignment (25/25); Austin, Texas (20/20); Defense Tech sector (15/15); salary N/A (5/10)",1,2026-03-16,2026-03-16,NEW,Lever,Open,,,,,"Source: ATS API (Lever), Operator",,
95,Saronic,Director of Growth,"Washington, DC",In-Office,Defense Tech,N/A,[ATS API] Ecosystem archetype role at Saronic. Found via direct Lever API query.,https://jobs.lever.co/saronic/e7c88eb5-0def-4cd9-87bd-1994a9b8654a,"senior-level match (30/30); strong skills alignment (25/25); Washington, DC (20/20); Defense Tech sector (15/15); salary N/A (5/10)",1,2026-03-16,2026-03-16,NEW,Lever,Open,,,,,"Source: ATS API (Lever), Ecosystem",,
95,Vannevar Labs,Senior Growth Director,Remote,Remote-US,Defense Tech/AI,N/A,[ATS API] Ecosystem archetype role at Vannevar Labs. Found via direct Greenhouse API query.,https://job-boards.greenhouse.io/vannevarlabs/jobs/5023199007,senior-level match (30/30); strong skills alignment (25/25); Remote (20/20); Defense Tech/AI sector (15/15); salary N/A (5/10),1,2026-03-16,2026-03-16,NEW,Greenhouse,Open,,,,,"Source: ATS API (Greenhouse), Ecosystem",,
90,Modal,VP Finance,New York,In-Office,AI/ML,N/A,[ATS API] Operator archetype role at Modal. Found via direct Ashby API query.,https://jobs.ashbyhq.com/modal/5ac02bd3-a7ac-4e3d-b9c2-cc1abede0ae3,senior-level match (30/30); strong skills alignment (25/25); New York (20/20); AI/ML sector (10/15); salary N/A (5/10),1,2026-03-16,2026-03-16,NEW,Ashby,Open,,,,,"Source: ATS API (Ashby), Operator",,21
90,Tagup,Director of Business Development,"New York, NY",In-Office,Energy/AI,N/A,[ATS API] Ecosystem archetype role at Tagup. Found via direct Lever API query.,https://jobs.lever.co/tagup/d58d9629-eff3-487d-a57f-1a45871ce5a8,"senior-level match (30/30); strong skills alignment (25/25); New York, NY (20/20); Energy/AI sector (10/15); salary N/A (5/10)",1,2026-03-16,2026-03-16,NEW,Lever,Open,,,,,"Source: ATS API (Lever), Ecosystem",,
90,Mercury,Head of Growth Marketing,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",Remote-US,Fintech,N/A,[ATS API] Ecosystem archetype role at Mercury. Found via direct Greenhouse API query.,https://job-boards.greenhouse.io/mercury/jobs/5812238004,"senior-level match (30/30); strong skills alignment (25/25); San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States (20/20); Fintech sector (10/15); salary N/A (5/10)",1,2026-03-16,2026-03-16,NEW,Greenhouse,Open,,,,,"Source: ATS API (Greenhouse), Ecosystem",,
85,Canals,VP Finance,New York,In-Office,Technology,N/A,[ATS API] Operator archetype role at Canals. Found via direct Ashby API query.,https://jobs.ashbyhq.com/canals/bdf9801c-9b82-4cde-965a-4d20789c48ee,senior-level match (30/30); strong skills alignment (25/25); New York (20/20); Technology sector (5/15); salary N/A (5/10),1,2026-03-16,2026-03-16,NEW,Ashby,Open,,,,,"Source: ATS API (Ashby), Operator",,27
83,charity: water,Chief Financial Officer,Remote-US,Remote-US,Nonprofit,"$260,000 - $280,000","Lead finance function during growth phase. $100M annual revenue. Oversee long-range planning, board communication, compliance, risk management. 20+ year-old org with strong mission.",https://jobs.lever.co/charitywater/452564c9-bd3b-4647-90d7-45e42a87611c,CFO-level (30); Finance/strategy skills strong match (20); Remote-US (20); nonprofit sector (5); salary $260-280K strong match (10) but limited IB/capmark focus,1,2026-03-09,2026-03-09,NEW,Lever,Open,,,,,API-verified 2026-03-16 (Lever),,
82,CFGI,Capital Markets Senior Manager,United States,In-Office,Financial Services,N/A,[ATS API] Capital Markets archetype role at CFGI. Found via direct Lever API query.,https://jobs.lever.co/cfgi/2c868a87-baff-4684-9986-70bdaaae7911,mid-level seniority (22/30); strong skills alignment (25/25); United States (20/20); Financial Services sector (10/15); salary N/A (5/10),1,2026-03-16,2026-03-16,NEW,Lever,Open,,,,,"Source: ATS API (Lever), Capital Markets",,
75,Anthropic,"Strategic Account Executive, Investment Banking & Capital Markets","New York City, NY; San Francisco, CA",In-Office,AI/ML,N/A,[ATS API] Capital Markets archetype role at Anthropic. Found via direct Greenhouse API query.,https://job-boards.greenhouse.io/anthropic/jobs/5041290008,"junior seniority (10/30); strong skills alignment (25/25); New York City, NY; San Francisco, CA (20/20); AI/ML sector (15/15); salary N/A (5/10)",1,2026-03-16,2026-03-16,NEW,Greenhouse,Open,,,,,"Source: ATS API (Greenhouse), Capital Markets",,
