Company,City_Country,Amount_USD,Round,Sector,Source,Lead_Investors,Description,Relevance_Score,Why_Relevant,Criteria_Matched,Recommended_Action
Altesa BioSciences,Atlanta GA,$75M,Series B,Pharma,FINSmes Feb 20,Forbion,Pharmaceutical company,5,Pharma sector lacks TMT/Software/Fintech focus,Sector ✗ Stage ✓,MONITOR
Ascent,San Diego CA,$45M,Series C,Financial products/education,FINSmes Feb 20,Unknown,Financial products and education platform,9,Fintech platform with massive funding in software category,Sector ✓ Stage ✓,REACH_OUT
Braintrust,San Francisco CA,$80M,Series B,AI observability,FINSmes Feb 19,Unknown,AI observability/monitoring platform,9,Enterprise software monitoring platform in SF with strong Series B,Sector ✓ Stage ✓ Location ✓,REACH_OUT
Code Metal,Boston MA,$125M,Series B,Code translation AI,StrictlyVC Feb 21,Salesforce Ventures + Accel,$1.25B valuation - AI code translation,10,Enterprise software with massive Series B funding in Boston tech hub,Sector ✓ Stage ✓ Location ✓,REACH_OUT
Cogent Security,San Francisco CA,$42M,Series A,AI cybersecurity,FINSmes Feb 19,Unknown,AI-powered cybersecurity,8,Software security company with strong Series A in SF,Sector ✓ Stage ✓ Location ✓,REACH_OUT
DG Matrix,Morrisville NC,$60M,Series A,Energy/solid-state transformers,FINSmes Feb 19,Unknown,Energy/solid-state transformer technology,5,Energy tech lacks TMT/Software focus,Sector ✗ Stage ✓,MONITOR
Efficient Computer,Pittsburgh PA,$60M,Series A,Energy-efficient processors,FINSmes Feb 19,Unknown,Energy-efficient processor manufacturer,6,Hardware manufacturer lacks fintech/TMT software focus,Sector ✗ Stage ✓,MONITOR
FYLD,London UK,€34M,Series B,AI infrastructure platform,FINSmes Feb 18,Unknown,AI infrastructure platform,8,Enterprise software infrastructure with strong Series B funding,Sector ✓ Stage ✓,REACH_OUT
Fluidstack,NYC,$100M,Unknown,Cloud computing,StrictlyVC Feb 21,Google,$7.5B valuation (rumored) - Cloud computing,10,Software/TMT cloud platform in NYC with massive funding,Sector ✓ Stage ✓ Location ✓,REACH_OUT
Freeform,Hawthorne CA,€67M,Series B,3D printing/manufacturing AI,StrictlyVC Feb 20,Founders Fund,3D printing/manufacturing AI,6,Manufacturing software lacking core TMT/Fintech focus,Sector ✓ Stage ✓,MONITOR
