Score,Company,Job_Title,Location,Salary,Sector,Summary,URL,Score_Rationale,Found_On
100,Valora Inc,Director of Business Development & Strategic Partnerships,Remote US/Europe,N/A,Blockchain/Crypto,Significant BD experience with focus on strategic partnerships and blockchain technology understanding. Remote position for US or Europe candidates.,https://boards.greenhouse.io/valorainc/jobs/4605976004,Senior partnerships leadership matches SVP partnerships experience at Anzu; BD Director matches partnership development and deal-making experience,Greenhouse
90,Jobgether,Partnerships Senior Director,Remote,N/A,Fintech/E-commerce,Lead strategic partnerships and drive growth across ecommerce ecosystem. Requires 10+ years in partnerships/BD/corp dev.,https://jobs.lever.co/jobgether/99b07138-69f8-4e05-9ea5-77004d467ea1,Senior partnerships leadership matches SVP partnerships experience at Anzu; Fintech sector directly matches JPMorgan and SVB startup banking expertise,Lever
86,Jobgether,Partnerships Lead,Remote,N/A,HR Tech/Fintech,"Lead partnership strategy, managing existing relationships while identifying new partners. Requires fintech high-growth experience.",https://jobs.lever.co/jobgether/5cef2152-b0cb-4f44-a63c-56cd843ac95b,Senior partnerships leadership matches SVP partnerships experience at Anzu; Fintech sector directly matches JPMorgan and SVB startup banking expertise,Lever
86,PolicyMe,Director of Partnerships,Remote Canada,N/A,Insurtech,Remote-first Toronto startup seeking ownership of external partner relationships. Executive-level stakeholder management.,https://jobs.lever.co/policyme/cf5199e8-4ca6-41d6-8d31-48cb8cf3cca6,Senior partnerships leadership matches SVP partnerships experience at Anzu; Venture/startup ecosystem aligns with Anzu Partners and Techstars-style experience,Lever
85,Remote.com,Senior Partnerships Manager,Remote - Global,N/A,HR Tech/Fintech,"Lead partner GTM strategy requiring 3-5 years experience in growth/partnerships/BD in HR, fintech or software. Build and manage strategic partnerships globally.",https://boards.greenhouse.io/remotecom/jobs/4394492003,Senior partnerships role aligns with portfolio company partnerships work; Fintech sector directly matches JPMorgan and SVB startup banking expertise,Greenhouse
85,Remote.com,"Senior Partnerships Manager, Platform",Remote - Global,N/A,HR Tech/Fintech,"Develop and drive platform partnership strategy, negotiate contracts and secure new platform partners to build Remote's API ecosystem.",https://boards.greenhouse.io/remotecom/jobs/4601317003,Senior partnerships role aligns with portfolio company partnerships work; Fintech sector directly matches JPMorgan and SVB startup banking expertise,Greenhouse
83,Juniper Square,Chief of Staff to the CEO,Remote US (office option),N/A,Fintech/Private Markets,"Digitizing private markets, bringing efficiency, transparency, and access to financial ecosystem. Flexible remote or office work.",https://jobs.ashbyhq.com/junipersquare/73c675b5-30fe-43a0-adaa-39f1d900be9d,C-suite CoS aligns with executive support experience and strategic ops background; Fintech sector directly matches JPMorgan and SVB startup banking expertise,Ashby
82,Nextech,Director of Strategic Partnerships,Remote US,N/A,Healthcare SaaS,"Drive growth across healthcare SaaS business by identifying, building, and scaling strategic partnerships. Lead high-impact relationships.",https://jobs.lever.co/nextech/fa8fd826-0554-4775-855f-a312c85f28b0,Senior partnerships leadership matches SVP partnerships experience at Anzu; Healthcare tech offers transferable partnership and ecosystem skills,Lever
81,Coinbase,Chief of Staff to the COO,Remote USA,N/A,Crypto/Fintech,"Act as force multiplier for COO, ensuring priorities are advanced and leading critical initiatives. Remote-first with some in-person participation.",https://boards.greenhouse.io/coinbase/jobs/7298274,C-suite CoS aligns with executive support experience and strategic ops background; Fintech sector directly matches JPMorgan and SVB startup banking expertise,Greenhouse
79,Omnipresent,"Business Development Representative, Talent Acquisition Partnerships",Remote - Global,N/A,HR Tech,Generate meetings and close new partners using outbound sales methods. Fully remote company with 300+ people in 45+ countries.,https://boards.greenhouse.io/omnipresent/jobs/4039144101,Partnerships role aligns with BD/partnerships experience; BD role aligns with growth and partnership development background,Greenhouse
77,Techstars,Chief of Staff,Remote US East Coast,N/A,Venture Capital/Accelerator,Lead cross-functional initiatives and serve as force multiplier to CEO. 2-3 year assignment to build deep understanding before leading business area.,https://boards.greenhouse.io/techstars57/jobs/5451541002,CoS role matches executive support and cross-functional leadership experience; Venture/startup ecosystem aligns with Anzu Partners and Techstars-style experience,Greenhouse
77,Rula,Sr. Strategic Partnerships Manager,Remote US,N/A,Healthcare/Mental Health Tech,Senior partnerships role at mental health platform making positive impact. Remote-first company culture.,https://jobs.ashbyhq.com/rula/8454ee1a-718f-4f42-98f6-4fe23d027d40,Senior partnerships role aligns with portfolio company partnerships work; Healthcare tech offers transferable partnership and ecosystem skills,Ashby
77,KOHO,Chief of Staff,Remote Canada,N/A,Fintech/Banking,"Mission to make financial services better for Canadians. Asynchronous collaboration, flexible hours, remote-first with high autonomy.",https://jobs.ashbyhq.com/koho/f33f16e6-62fd-4018-91bd-da3aa87a9e67,CoS role matches executive support and cross-functional leadership experience; Fintech sector directly matches JPMorgan and SVB startup banking expertise,Ashby
75,SIRUM,"Chief of Staff, Product",Remote (ATL preferred),N/A,Healthcare/Nonprofit,Work directly with co-founder/CTO to maximize leverage and increase product/engineering velocity. 20-25% travel to Atlanta.,https://boards.greenhouse.io/sirum/jobs/5406753003,C-suite CoS aligns with executive support experience and strategic ops background; Healthcare tech offers transferable partnership and ecosystem skills,Greenhouse
75,Covera Health,Chief of Staff to CEO,Remote US (NYC preferred),"$155,000-$210,000",Healthcare Tech,Remote-first company with strong preference for NYC-based hire to work with CEO. Includes discretionary bonus and comprehensive benefits.,https://boards.greenhouse.io/coverahealth/jobs/5883726003,C-suite CoS aligns with executive support experience and strategic ops background; Healthcare tech offers transferable partnership and ecosystem skills,Greenhouse
