Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On
REPEAT,95,TMT/software/fintech coverage + Salary $150K+ base: 20/20 + NYC target: 20/20 + Senior analyst/VP: 20/20,Guidepoint,Senior Equity Analyst - TMT Sector,TMT,"New York, NY",English,In-Office,"$150,000 - $200,000","Monitor TMT news, identify expert advisors, create original content. Produce actionable insights for buy-side clients. Generate investment ideas.",https://www.builtinnyc.com/job/tmt-strategist-guidepoint-insights/2834288,Active,Built In NYC
NEW,93,TMT/software/fintech coverage + Salary $150K+ base: 20/20 + NYC target: 20/20 + Mid-level analyst: 18/20,Verition Fund Management,US L/S Equity Analyst - TMT (Software),TMT/Software,"New York, NY",English,In-Office,"$150,000 - $200,000",Conduct in-depth fundamental research and analysis on Software sector companies. Requires 2+ years experience focused on Software public equities.,https://builtin.com/job/us-l-s-equity-analyst-tmt-software/6503654,Active,Built In
NEW,91,TMT/software/fintech coverage + Salary in target range: 18/20 + NYC target: 20/20 + Mid-level analyst: 18/20,Verition Fund Management,"US L/S Equity Associate/Analyst - TMT (Generalist, Semi/Semicap)",TMT/Hardware,"New York, NY",English,In-Office,"$120,000 - $180,000",Join small entrepreneurial investing team reporting to Portfolio Manager. Own fundamental research across TMT with initial focus on semis/semicap.,https://www.verition.com/open-positions,Active,Verition careers
NEW,91,TMT/software/fintech coverage + Salary in target range: 18/20 + NYC target: 20/20 + Mid-level analyst: 18/20,Verition Fund Management,Investment Analyst - Consumer/TMT Equity Long/Short Team,TMT/Consumer,"New York, NY",English,In-Office,"$100,000 - $150,000",Join Consumer/TMT Equity Long/Short Team. Requires 1-3 years hedge fund experience on consumer and internet public equities.,https://builtin.com/job/investment-analyst-consumertmt-equity-longshort-team/3835576,Active,Built In
NEW,88,HF equity research L/S analyst + Salary in target range: 18/20 + NYC target: 20/20 + Junior/entry-level: 10/20,"J. Goldman & Co., L.P.",Hedge Fund - Equity Research Analyst (Junior) - TMT Long/Short,TMT,"New York, NY",English,In-Office,"$100,000 - $150,000",Join TMT Long/Short equity research team. Deep fundamental analysis of tech/media companies at independent investment manager.,https://www.linkedin.com/jobs/view/hedge-fund-%E2%80%93-equity-research-analyst-junior-%E2%80%93-tmt-long-short-id25001-at-j-goldman-co-l-p-4129675533,Active,LinkedIn
REPEAT,76,Adjacent finance role + Salary in target range: 18/20 + NYC target: 20/20 + Mid-level analyst: 18/20,Interplay (Ascend),"Investment Analyst, Ascend",Multi-sector,"New York, NY",English,In-Office,"$100,000 - $150,000","Join multi-family office managing alternative assets. Own financial models (allocation, cash, three-statement). Evaluate 1,000+ funds annually.",https://jobs.ashbyhq.com/interplay/49067d40-d1b5-4101-9b9d-37e8216e86f0,Active,Ashby
REPEAT,75,Generic finance role + Salary $150K+ base: 20/20 + Remote flexible: 20/20 + Senior analyst/VP: 20/20,Seaport Global Holdings,Senior Equity Analyst (Generalist & Special Situations),Multi-sector,Remote,English,Remote,"$150,000 - $250,000","Provide equity research, generate ideas, maintain client relationships. Requires 7+ years equity research experience, MBA/CFA preferred, Series 7/63/86/87.",https://jobs.lever.co/seaportglobal/1056feac-5210-4a44-a7e9-e21b267163a9,Active,Lever
REPEAT,72,Adjacent finance role + Below target salary: 12/20 + Remote flexible: 20/20 + Portfolio manager level: 20/20,Arootah,Consultant - Portfolio Manager (Fractional/Contract),Multi-sector,Remote,English,Remote,$275-$400/hr,Investment Management & Due Diligence Advisor for hedge fund/family office. Consulting rate $275-$400/hour.,https://jobs.lever.co/arootah/9013cb10-c8f4-4ac1-91e3-8f9b145058f4,Active,Lever
NEW,71,Generic finance role + Salary in target range: 18/20 + NYC target: 20/20 + Mid-level analyst: 18/20,Polychain Capital,Hedge Fund Analyst: Contract to Full-Time,Crypto/Digital Assets,"New York, NY",English,In-Office,"$180,000","Hedge Fund Analyst role. Requires open-minded research approach, intellectual curiosity, statistics/quantitative analysis understanding.",https://boards.greenhouse.io/polychaincapital/jobs/6531362,Active,Greenhouse
NEW,71,Generic finance role + Salary $150K+ base: 20/20 + Target city (not NYC): 18/20 + Mid-level analyst: 18/20,Wolverine Trading,Hedge Fund Quantitative Analyst,Quantitative/Trading,"Chicago, IL",English,In-Office,"$120,000 - $200,000","Data-driven research environment role. Requires prior experience in data research, programming (preferred), basic corporate finance/securities trading.",https://jobs.lever.co/wolve/363758b4-db6b-47ee-a445-ea0b43a150f1,Active,Lever
