Score,Company,Location,Amount,Round,Lead_Investor,Sector,Signal,Source,Date_Announced
9,GeoWealth,"Chicago, IL",$42.5M,Series C,Goldman Sachs,Fintech/WealthTech,RIA platform for diversified portfolios — Goldman-led round signals institutional credibility. Finance leadership hiring likely as they scale post-Series C.,StrictlyVC,2026-03-21
8,Oasis Security,"New York, NY",$120M,Series B,Craft Ventures,Cybersecurity,"$120M round for non-human identity management. NYC-based, $195M total raised. Series B at this scale = VP Finance / Director of Finance hire imminent.",StrictlyVC,2026-03-20
8,Surf AI,"New York, NY",$57M,Series A,Accel,Cybersecurity/AI,"Agentic security ops platform. NYC-based, Accel-led. Fast-growing security company will need senior finance as they scale toward Series B.",StrictlyVC + FINSmes,2026-03-17
8,Cape,"Arlington, VA",$100M,Series C,Bain Capital Ventures + IVP,Defense Tech/Privacy,"Privacy-first mobile network, $190M total. Ex-Palantir founders. Arlington VA HQ = DC-adjacent. $900M valuation means CFO/VP Finance track.",StrictlyVC,2026-03-20
7,Claros,"McLean, VA",$30M,Seed,General Catalyst + Red Cell Partners,Energy/Data Center,"Data center power management, McLean VA (DC). Red Cell Partners = defense-adjacent investor. $30M seed = unusually large, will staff up finance quickly.",StrictlyVC,2026-03-20
7,Arc,"Los Angeles, CA",$50M,Series C,Eclipse,Defense Tech/Clean Energy,Electric boats for commercial and defense use. a16z + Menlo backed. Defense contracts = need strong finance/compliance leadership.,StrictlyVC,2026-03-20
7,Fuse,"New York, NY",$25M,Series A,Footwork + Primary Venture Partners,Fintech,Loan origination for credit unions. NYC-based fintech disrupting aging financial infrastructure. Finance hire likely as they scale lending operations.,StrictlyVC,2026-03-17
7,Obin AI,"New York, NY",$7M,Seed,Motive Partners,Fintech/AI,AI for financial analysis workflows at investment firms. Motive Partners (fintech-specialist VC) led. NYC-based. Small but directly in Vivienne's sector.,StrictlyVC + FINSmes,2026-03-19
7,Xbow,"Seattle, WA",$120M,Series C,DFJ Growth + Northzone,Cybersecurity,"Autonomous security testing, $1B+ valuation. Sequoia-backed. Scale = VP Finance need. Not ideal location but Remote possible.",StrictlyVC,2026-03-19
6,Knox Systems,"Austin, TX",$25M,Series A,B Capital,GovTech/Cloud,Government cloud compliance platform. M12 + Okta Ventures backing. Govtech = Vivienne's adjacent sector.,FINSmes,2026-03-18
6,Corridor,"San Francisco, CA",$25M,Series A,Felicis,Cybersecurity/AI,Security for AI-generated code. Lux Capital + Conviction backing. $200M valuation at Series A.,StrictlyVC,2026-03-20
6,Edra,"New York, NY",$30M,Series A,Sequoia,AI/Enterprise,"Ex-Palantir founders, workflow automation. Sequoia + 8VC backed. NYC. Adjacent to defense/govtech world.",StrictlyVC,2026-03-19
5,Eclypsium,"Portland, OR",$25M,Growth,Peak6 Strategic Capital,Cybersecurity,Hardware/firmware supply chain security. a16z backed. $110M total. Not ideal location.,StrictlyVC + FINSmes,2026-03-20
