URL,ATS,Slug,Job_ID,Company,Job_Title,Role_Family,Archetype_Guess,Remote_Eligible,Geography_Notes,Stretch_Count,Intl_Flex_OK,Seniority_Floor_OK,Search_Anchor,Found_On_Board,Snippet,Discovered_Date
https://jobs.lever.co/32Co/5bdbe964-55df-452c-a9af-66f6b27aeeeb,lever,32co,5bdbe964-55df-452c-a9af-66f6b27aeeeb,32Co,Chief of Staff (Operations) at 32Co,chief_of_staff,unclear,yes,Remote,0,unclear,true,open_remote,lever,Remote-first culture; ops CoS,2026-05-11
https://jobs.lever.co/360learning/a75bf78f-b20c-42fd-8546-3f45479cf520,lever,360learning,a75bf78f-b20c-42fd-8546-3f45479cf520,360Learning,Revenue Strategy & Operations Manager at 360Learning,strategy_ops,manager_leaning,unclear,,0,unclear,true,eu,lever,Intl S&O team of 10; works with CEO,2026-05-11
https://jobs.ashbyhq.com/abacum/078addcf-3456-447c-9597-9c9291192568,ashby,abacum,078addcf-3456-447c-9597-9c9291192568,Abacum Inc,"Senior Partner Manager, EMEA at Abacum Inc",partnerships_bd,unclear,unclear,EMEA; London,0,unclear,true,eu,ashby,Sr partner mgr EMEA London/Barcelona,2026-05-11
https://job-boards.greenhouse.io/ada18/jobs/4976543007,greenhouse,ada18,4976543007,Ada,"VP, Partnerships at Ada",partnerships_bd,unclear,unclear,,0,unclear,true,dc,greenhouse,AI transformation co; VP partnerships strategy,2026-05-11
https://job-boards.greenhouse.io/addepar1/jobs/8120254002,greenhouse,addepar1,8120254002,Addepar,Chief of Staff - R&D at Addepar,chief_of_staff,unclear,unclear,New York,0,unclear,true,open_remote,greenhouse,Strategic operator to CTO; New York based,2026-05-11
https://jobs.lever.co/airalo/3eb462b6-c3f7-4dde-8609-465bfc078c0c,lever,airalo,3eb462b6-c3f7-4dde-8609-465bfc078c0c,Airalo,"Partnerships Director, North America at Airalo",partnerships_bd,unclear,unclear,,0,unclear,true,open_remote,lever,Partnership efforts NA across 4 streams,2026-05-11
https://jobs.lever.co/airalo/16504e36-d2e1-4edb-9647-3bc3d92ea0a1,lever,airalo,16504e36-d2e1-4edb-9647-3bc3d92ea0a1,Airalo,Director of Partnerships - North America & Latin America at Airalo,partnerships_bd,unclear,unclear,LATAM; Latin America,0,unclear,true,latam,lever,Director partnerships NA & LATAM,2026-05-11
https://jobs.lever.co/aircall/b53f51e4-8231-4db4-942b-ff76cbd7eff2,lever,aircall,b53f51e4-8231-4db4-942b-ff76cbd7eff2,Aircall,Strategic Partner Manager - LATAM at Aircall,partnerships_bd,unclear,unclear,Mexico; LATAM,0,unclear,true,latam,lever,Mexico City based partner manager,2026-05-11
https://jobs.lever.co/aledade/45857f04-b169-462a-a191-e93a032d7c9c,lever,aledade,45857f04-b169-462a-a191-e93a032d7c9c,Aledade,"Chief of Staff, Provider Networks, Remote at Aledade",chief_of_staff,unclear,yes,Remote,0,unclear,true,open_remote,lever,Remote CoS to Chief Performance Officer,2026-05-11
https://jobs.ashbyhq.com/alembic/36a94638-a1ec-4fe3-814b-91b179296004,ashby,alembic,36a94638-a1ec-4fe3-814b-91b179296004,Alembic,Head of Strategic Partnerships and Alliances at Alembic,partnerships_bd,unclear,unclear,,0,unclear,true,eu,ashby,Head of strategic partnerships & alliances,2026-05-11
https://boards.greenhouse.io/alliedglobalmarketing/jobs/4528695005,greenhouse,alliedglobalmarketing,4528695005,Allied Global Marketing,"Director, Partnerships at Allied Global Marketing",partnerships_bd,unclear,unclear,,0,unclear,true,eu,greenhouse,Director partnerships,2026-05-11
https://jobs.ashbyhq.com/almedia/e8f84a3d-c1b7-46e0-bd41-eeaa963dbb7b,ashby,almedia,e8f84a3d-c1b7-46e0-bd41-eeaa963dbb7b,Almedia,Country Manager at Almedia,market_entry,builder_leaning,unclear,Europe,0,unclear,true,eu,ashby,Almedia CM Europe,2026-05-11
https://job-boards.greenhouse.io/amplitude/jobs/8519347002,greenhouse,amplitude,8519347002,Amplitude,Global Agency Lead at Amplitude,partnerships_bd,unclear,unclear,,0,unclear,true,dc,greenhouse,Global agency partnerships lead,2026-05-11
https://job-boards.greenhouse.io/analyst1/jobs/5099024007,greenhouse,analyst1,5099024007,Analyst1,VP of Channel Partnerships & Alliances at Analyst1,partnerships_bd,unclear,unclear,,0,unclear,true,dc,greenhouse,Cybersecurity channel partnerships,2026-05-11
https://job-boards.greenhouse.io/anthropic/jobs/4982149008,greenhouse,anthropic,4982149008,Anthropic,Head of UK & Northern Europe Partnerships at Anthropic,partnerships_bd,unclear,unclear,Europe; UK,0,unclear,true,dc,greenhouse,Head of UK/Northern Europe partnerships,2026-05-11
https://jobs.lever.co/apolloresearch/9f545ae1-891d-4f3e-90f1-13a53ef2938b,lever,apolloresearch,9f545ae1-891d-4f3e-90f1-13a53ef2938b,Apollo Research,US/NatSec Specialist at Apollo Research,chief_of_staff,unclear,unclear,DC,0,unclear,false,dc,lever,DC-based; 25% travel; NatSec engagement,2026-05-11
https://jobs.lever.co/applike/b6598a10-a1d7-4ec8-9f0c-513c13371849,lever,applike,b6598a10-a1d7-4ec8-9f0c-513c13371849,applike group,"Regional Manager, LATAM at applike group",market_entry,unclear,unclear,Brazil; LATAM,0,unclear,true,latam,lever,LATAM regional; Brazil-based first leader,2026-05-11
https://jobs.lever.co/Archive/4a43118d-b775-4708-841e-a31eba80d204,lever,archive,4a43118d-b775-4708-841e-a31eba80d204,Archive,Chief of Staff at Archive,chief_of_staff,unclear,yes,Remote; NYC,0,unclear,true,open_remote,lever,Remote team ~45 with NYC office,2026-05-11
https://jobs.ashbyhq.com/Arlo/e7618f3b-cdb9-4010-872d-58bb5113ec80,ashby,arlo,e7618f3b-cdb9-4010-872d-58bb5113ec80,Arlo,Chief of Staff at Arlo,chief_of_staff,unclear,unclear,,0,unclear,true,dc,ashby,Work with founders as thought partner,2026-05-11
