Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On
NEW,88,Head-level at defense startup; BD expertise aligned with DoD network building; NYC listed but DC-based work; Primary defensetech sector; No salary listed (5/10),ZeroMark,Head of Go-To-Market,Defense Tech/Counter-UAS,"New York, NY",N/A,In-Office,N/A,"Lead defense BD for AI-enabled counter-drone startup. Build DoD/military relationships, develop sales strategy for optical systems to military sector. Early-stage defense tech.",https://jobs.ashbyhq.com/zeromark/9bfbacf8-a28e-4b5c-955b-3488b3cbe50f,Verified,Ashby
NEW,85,VP-level first finance hire at $1.1B AI infra company; Strong finance/strategy skills match; NYC in-office; AI sector with enterprise focus (10/15); Salary meets target ($300K-$350K base + equity),Modal,VP Finance,AI/Cloud Infrastructure,"New York, NY",N/A,In-Office,"$300,000 - $350,000","Build finance function from ground up as first full-time finance hire at $1.1B AI infrastructure company. Report to CEO, lead budgeting/forecasting/capital allocation. Path to CFO.",https://jobs.ashbyhq.com/modal/5ac02bd3-a7ac-4e3d-b9c2-cc1abede0ae3,Verified,Ashby
NEW,83,Director-level capital formation at crypto VC; Capital markets/fundraising directly aligned; NYC; VC/PE sector (full credit); No salary listed,Pantera Capital,"Director, Capital Formation",Crypto/Venture Capital,"New York, NY",N/A,In-Office,N/A,"Lead capital formation and investor relations for leading crypto-focused VC firm. Raise capital across venture, hedge, and liquid token funds. Build LP relationships globally.",https://jobs.lever.co/panteracapital/45fafefe-a2aa-41ff-8fdf-99cd4996c45d,Verified,Lever
NEW,82,VP-level IR at pre-IPO tech company; Capital markets expertise directly aligned; Remote (East Coast preferred); Enterprise SaaS (10/15); No salary listed,MeridianLink,"VP, Investor Relations",Fintech/SaaS,Remote (East Coast),N/A,Remote-US,N/A,"Develop and execute strategic investor relations program for public fintech company. Engage with buy-side/sell-side analysts, manage earnings communications, and support capital markets strategy.",https://jobs.lever.co/meridianlink/c6945f29-d27c-4821-9fc2-694d377a21a6,Verified,Lever
NEW,82,Defense BD manager at Applied Intuition; BD/defense expertise aligned; Washington DC; Primary defensetech sector; No salary listed,Applied Intuition,Defense Technical Business Development Manager,Defense Tech/Autonomy,"Washington, DC",N/A,In-Office,N/A,Assist with Defense business strategy planning and operations for autonomous vehicle simulation platform. Build relationships with DoD and defense primes for AI/autonomy programs.,https://boards.greenhouse.io/appliedintuition/jobs/4045281005,Verified,Greenhouse
NEW,81,Deal strategy role at intersection of legal/security/BD; Legal+BD background uniquely suited; Washington DC; Space/defense tech sector; No salary listed,Nominal,"Deal Strategy, USG & Prime Partnerships",Space Tech/Defense,"Washington, DC",N/A,In-Office,N/A,"Strategic deal identification and partnership development with US Government and defense primes. Sits at intersection of Legal, Security, and Business Development for space technology company.",https://jobs.lever.co/nominal/e8e0a7a9-10d1-44e1-97f0-5868c48eb914,Verified,Lever
NEW,80,VP-level IR at public tech company; Capital markets/IB background directly relevant; NYC location; Enterprise SaaS sector (10/15); No salary listed,Yext,"VP, Investor Relations",Tech/AI Search,"New York, NY",N/A,In-Office,N/A,"Collaborate on investor relations strategy execution for public AI search platform company. Manage analyst relationships, earnings process, and investor communications.",https://boards.greenhouse.io/yext/jobs/3035454,Verified,Greenhouse
NEW,80,Director-level defense BD; BD expertise aligned; Remote; Primary defensetech AI logistics; Clearance likely preferred; No salary listed,Tagup,Director of Business Development,Defense Tech/AI Logistics,Remote,N/A,Remote-US,N/A,"Lead capture across Army, Air Force, Navy, Marine Corps, and defense innovation orgs. Convert operational needs into programs powered by AI logistics platform. Requires 15+ years defense BD experience.",https://jobs.lever.co/tagup/d58d9629-eff3-487d-a57f-1a45871ce5a8,Verified,Lever
NEW,79,VP-level IR newly created role; Capital markets expertise aligned; NYC preferred; Consumer tech/marketplace (10/15); No salary listed,StockX,"Vice President, Investor Relations",Tech/Marketplace,"New York, NY",N/A,Hybrid,N/A,Newly created VP IR role reporting to CFO. Build investor relations function for sneaker/collectibles marketplace. Manage buy/sell-side relationships and capital markets strategy.,https://boards.greenhouse.io/stockx/jobs/5843207002,Verified,Greenhouse
NEW,78,Director-level at privacy tech company; BD/partnerships expertise aligned; Remote-US; General enterprise tech (10/15); Salary meets target ($243.8K + equity),DuckDuckGo,"Director, Business Development",Tech/Privacy,Remote (USA),N/A,Remote-US,"$243,800","Lead DuckDuckGo's most complex AI partnerships. Source, negotiate, and scale deals with model providers and AI infrastructure partners in the agentic ecosystem. 300+ person remote-first team.",https://jobs.ashbyhq.com/duck-duck-go/30f53ccd-9714-4bee-9d52-f31975e363fa,Verified,Ashby
