Score,Company,Location,Amount,Round,Lead_Investor,Sector,Signal,Source,Date_Announced
9,BVNK (acquired by Mastercard),"London, UK",$1.8B,Acquisition,Mastercard,Fintech/Payments/Crypto,Mastercard acquiring London stablecoin payments company for $1.8B. MASSIVE signal — Mastercard will be building out the team. Partnerships/BD roles for stablecoin integration across Mastercard's network are inevitable.,StrictlyVC,2026-03-18
8,Upvest,"Berlin, Germany",$90M (€108M),Series C,Sapphire Ventures + Tencent,Fintech/Banking Infra,API-based securities trading/custody for banks and brokers. BlackRock + Bessemer backed. European fintech infrastructure at scale — BD/Partnerships hires likely to expand bank integrations.,StrictlyVC + EU-Startups,2026-03-18
8,Hanover Park,"New York, NY",$27M,Series A,Emergence + Lux + Susa,Fintech/VC Infrastructure,AI platform automating fund admin for PE/VC firms. Directly in Phil's VC/startup banking world. Partnerships with fund managers = Phil's sweet spot.,StrictlyVC,2026-03-19
8,Kalshi,"New York, NY",~$1B,Growth,Coatue,Fintech/Prediction Markets,"$22B valuation, regulated prediction market. Massive growth round. Will need partnerships/BD/regulatory affairs leadership at scale.",StrictlyVC,2026-03-20
7,TransFi,Dubai,$14.2M,Series A,Turing Financial Group,Fintech/Payments/Crypto,Cross-border stablecoin payments across emerging markets. Fintech payments infrastructure — BD/partnerships role to expand market coverage.,StrictlyVC,2026-03-19
7,Ironlight,"Austin, TX",$21M,Series A,Various,Fintech/Tokenized Securities,Regulated marketplace for tokenized securities. Blockchain + traditional finance convergence — partnerships needed to onboard institutional clients.,StrictlyVC + FINSmes,2026-03-17
7,Foresight,"London, UK",$25M,Series A,Macquarie Capital VC,AI/Infrastructure,"AI platform for large-scale infrastructure project risk. London-based, Creandum-backed. Partnerships with construction/infrastructure firms = BD opportunity.",StrictlyVC + FINSmes,2026-03-19
7,Obin AI,"New York, NY",$7M,Seed,Motive Partners,Fintech/AI,AI agents for financial analysis at investment firms. Motive Partners specializes in fintech. Small but squarely in Phil's finance + partnerships world.,StrictlyVC + FINSmes,2026-03-19
7,Steward,New York / London,$5M,Seed,Motive Partners,Fintech/Compliance,AI for investor onboarding and AML compliance. NYC + London dual presence. Motive Partners again. Directly serves investment managers — Phil's target client base.,StrictlyVC,2026-03-19
7,TradingHub,"London, UK",Undisclosed,Strategic (Majority),Nordic Capital,Fintech/RegTech,Trade surveillance tech for global financial institutions. London-based. Nordic Capital taking majority = significant growth investment. Will hire commercial/BD leadership.,FINSmes,2026-03-17
6,Mutable Tactics,"London, UK",$2.1M,Pre-Seed,Various,Defense Tech,London defense tech startup. Very early stage but in Phil's sector/location sweet spot. Worth watching.,FINSmes,2026-03-16
6,Cape,"Arlington, VA",$100M,Series C,Bain Capital Ventures + IVP,Defense Tech/Privacy,"Ex-Palantir founders, privacy mobile network. $900M valuation. DC-adjacent. Partnerships/BD as they scale to enterprise/government.",StrictlyVC,2026-03-20
6,Cocoon Carbon,"London, UK",$15M,Series A,2150 + Brick & Mortar,Climate Tech,Low-carbon cement alternative. London climate tech. Adjacent to Phil's interests but not core fintech.,StrictlyVC,2026-03-20
5,Cloaked,"New York, NY",$375M,Growth,General Catalyst + Liberty City,Privacy/Identity,Consumer privacy at massive scale. DuckDuckGo participated. Not core fintech but scale suggests major hiring.,StrictlyVC,2026-03-20
