Score,Company,Job_Title,Location,Work_Arrangement,Sector,Salary_USD,Job_Summary,URL,Score_Rationale,Times_Seen,First_Seen_Date,Last_Seen_Date,Status,Found_On,URL_Status,Applied_Date,Application_Method,Response_Status,Interview_Stage,Notes
95,Square (Block),"Head of Payment Partnerships & Executive Director, UK",London,Hybrid,Fintech/Payments,N/A,"Head of Payment Partnerships reporting into European FinOps Lead. Central to development and expansion of Square's UK business. Executive Director level at Block (parent of Square, Cash App).",https://www.efinancialcareers.com/jobs-UK-London-Head_of_Payment_Partnerships__Executive_Director_UK.id23330791,Core payments fintech at Block/Square (35/35 industry). Payment partnerships + UK expansion = Phil's JPMorgan acceleration work (25/25 skills). Executive Director level (20/20). London (10/10). Salary unlisted (5/10).,1,2026-03-16,2026-03-16,NEW,efinancialcareers,Not Checked,,,,,
94,Unlimit,Head of Partnerships,London,Hybrid,Fintech/Payments,N/A,"Head of Partnerships at global fintech payments infrastructure company. 10+ years in senior partnerships, BD, or commercial leadership in Payments/FinTech required. C-suite partnership origination.",https://jobs.lever.co/unlimit/b01c5d26-9123-438b-b7ad-b88821d9e034,Fintech payments core (35/35 industry). C-suite partnerships + ecosystem building (24/25 skills). Head level (20/20). London (10/10). Salary unlisted (5/10). VERIFIED OPEN last week.,2,2026-03-09,2026-03-16,REPEAT,Lever,Not Checked,,,,,
93,Adyen,Head of Payments Partnerships,London,Hybrid,Fintech/Payments,N/A,"Lead payments partnerships function at global payments platform processing for Netflix, Spotify, Uber, Microsoft. Build and scale partner ecosystem across acquiring, PSP, and payment method partnerships.",https://app.welcometothejungle.com/jobs/4RHck5cr,Global payments leader (35/35 industry). Payments partnerships ecosystem building (23/25 skills). Head level (20/20). London office (10/10). Salary unlisted but Adyen pays competitively (5/10).,1,2026-03-16,2026-03-16,NEW,WTTJ/Otta,Not Checked,,,,,
92,Nasdaq,Global Head of Partnerships and Strategic Alliances,New York,Hybrid,Fintech/Capital Markets,N/A,VP-level role leading global partnership strategy for Nasdaq's Financial Technology Division. Scale ecosystem of strategic partners for Capital Markets Technology and Regulatory Technology solutions.,https://nasdaq.wd1.myworkdayjobs.com/Global_External_Site/job/VP-of-Partnerships_R0022573,Capital markets fintech division (35/35 industry). Global partnership strategy + ecosystem scaling (23/25 skills). VP/Head level (20/20). NYC (7/10). Likely $200K+ (7/10).,1,2026-03-16,2026-03-16,NEW,Workday,Not Checked,,,,,
91,Jeeves,Head of Global Partnerships,Remote,Remote-Global,Fintech/Business Banking,N/A,"Architect, lead, and scale partner ecosystem across North America, LATAM, and EMEA. Reports directly to CRO. Jeeves is a global financial OS for businesses (corporate cards, cross-border payments, expense management).",https://jobs.lever.co/tryjeeves/f0faf387-8d07-4784-ba28-acae4a16d70a,Fintech business banking/payments (35/35 industry). Global partnerships across EMEA/LATAM + CRO report (23/25 skills). Head level (20/20). Remote-Global (10/10). Salary unlisted (3/10).,1,2026-03-16,2026-03-16,NEW,Lever,Not Checked,,,,,
91,Yuno,Head of Partnerships - Europe,Remote-Europe,Remote-Europe,Fintech/Payments,N/A,"Define and execute European partnership strategy at payments infrastructure fintech. 7+ years partnerships, channel, or strategic BD in B2B SaaS or fintech. Reports to CRO.",https://jobs.lever.co/yuno/12b94079-5efe-4102-96e7-60d8850d0517,Payments fintech (35/35 industry). European partnership strategy (23/25 skills). Head level (20/20). Remote-Europe (10/10). Salary unlisted (3/10). Week 2.,2,2026-03-09,2026-03-16,REPEAT,Lever,Not Checked,,,,,
90,Offchain Labs,"Head of Fintech, Partnerships",Remote,Remote-Global,Crypto/Fintech,N/A,"Head of Fintech Partnerships at Offchain Labs (builders of Arbitrum, leading Ethereum L2). Build fintech partner ecosystem for blockchain infrastructure. Crypto/fintech crossover.",https://jobs.lever.co/offchainlabs/4116bee9-9c54-4b7e-a2de-b1cdc92bc5b4,Crypto/fintech infrastructure (35/35 industry). Fintech partnerships specifically (23/25 skills). Head level (20/20). Remote-Global (10/10). Salary unlisted (2/10).,1,2026-03-16,2026-03-16,NEW,Lever,Not Checked,,,,,
89,Early Warning (Zelle),"Sr. Director, Partnership Operations & Chief of Staff",Remote-US,Remote-US,Fintech/Payments,N/A,Sr Director leading strategic initiatives across enterprise sales and partnership functions at Early Warning (parent company of Zelle). Hybrid CoS + partnerships operations role. Payments infrastructure company processing billions in transactions.,https://earlywarning.wd5.myworkdayjobs.com/en-US/earlywarningcareers/job/Sr-Director--Partnership-Operations---Chief-of-Staff_REQ20251084,Core payments infrastructure/Zelle parent (35/35 industry). CoS + partnership ops hybrid is Phil's exact profile (24/25 skills). Sr Director (20/20). Remote-US (10/10). Salary unlisted (0/10 - conservative).,1,2026-03-16,2026-03-16,NEW,Workday,Not Checked,,,,,
88,Pleo,Head of Partnerships & Alliances,London,Hybrid,Fintech/Business Spending,N/A,"Develop and implement multi-year partnership strategy to rapidly grow revenue from partners at Pleo (business spending platform, Series C, $4.7B valuation peak). London or Copenhagen.",https://boards.greenhouse.io/pleo/jobs/4804826003,Fintech business spending (35/35 industry). Multi-year partnership strategy + revenue growth (22/25 skills). Head level (20/20). London office (10/10). Salary unlisted (1/10).,1,2026-03-16,2026-03-16,NEW,Greenhouse,Not Checked,,,,,
87,Acquired,Head of Operations,London,Hybrid,Fintech/Payments,N/A,"Head of Operations at payments/fintech company. Requires 10+ years in customer success, account management, partnerships, or operations within payments or fintech. London-based.",https://app.welcometothejungle.com/jobs/tCuf7_c1,Payments fintech (35/35 industry). Operations + partnerships in payments (20/25 skills). Head level (20/20). London (10/10). Salary unlisted (2/10). Strategy & Ops secondary role match.,1,2026-03-16,2026-03-16,NEW,WTTJ/Otta,Not Checked,,,,,
87,LiveFlow,Chief of Staff,Remote,Remote-US,Fintech/Accounting,N/A,"CoS at fintech startup automating financial reporting. Work directly with founders on strategy, operations, and scaling.",https://jobs.ashbyhq.com/liveflow/df3eb756-fcb2-4a0a-adff-1556c28b919a,Fintech-adjacent accounting (30/35 industry). CoS strategy + ops (22/25 skills). CoS level (20/20). Remote (10/10). Salary unlisted (5/10). Week 2.,2,2026-03-09,2026-03-16,REPEAT,Ashby,Not Checked,,,,,
86,Forter,"Head of Business Development and Strategic Alliances, AMER",New York,Hybrid,Fintech/Fraud Prevention,N/A,"Head of BD and Strategic Alliances for the Americas at Forter (fraud prevention for ecommerce/payments). NYC preferred, remote eligible. Build strategic alliance partnerships.",https://boards.greenhouse.io/forter/jobs/6920185002,Payments/fraud prevention fintech (30/35 industry). BD + strategic alliances (22/25 skills). Head level (20/20). NYC (7/10). Salary unlisted (7/10 estimated $180K+).,1,2026-03-16,2026-03-16,NEW,Greenhouse,Not Checked,,,,,
85,OfferFit,Head of Partnerships,Remote-US,Remote-US,AI/SaaS,N/A,"FIRST Head of Partnerships, working directly with CFO to strategize, design and scale the partnership function from zero. AI-powered personalization platform.",https://boards.greenhouse.io/offerfit/jobs/4512184005,AI SaaS (28/35 industry). Zero-to-one partnership function build = Phil's core strength (24/25 skills). Head level (20/20). Remote-US (10/10). Salary unlisted (3/10).,1,2026-03-16,2026-03-16,NEW,Greenhouse,Not Checked,,,,,
85,Metaview,Chief of Staff,London,Hybrid,AI/HR Tech,N/A,"CoS at AI hiring intelligence platform. Work with CEO on strategy and vision, execution, team building. London-based. Previously scored 93 in earlier searches.",https://app.welcometothejungle.com/jobs/6aEZ4JM1,"AI/HR tech (28/35 industry). CoS to CEO, strategy + execution (22/25 skills). CoS level (20/20). London (10/10). Salary unlisted (5/10).",1,2026-03-16,2026-03-16,NEW,WTTJ/Otta,Not Checked,,,,,
85,Xero,Partnerships Director,London,Hybrid,Fintech/Accounting,N/A,"Lead development of unique deals and GTM strategies to source, sign, and grow revenue-generating partnerships at global accounting platform.",https://jobs.ashbyhq.com/xero/8d7b9864-de81-4640-952b-2f7ca719c568,Fintech-adjacent accounting (30/35 industry). Partnerships GTM strategy (22/25 skills). Director level (20/20). London (8/10). Salary unlisted (5/10). VERIFIED OPEN last week.,2,2026-03-09,2026-03-16,REPEAT,Ashby,Not Checked,,,,,
85,Credible,Partnerships & Business Development Director - Mortgage,Remote-US,Remote-US,Fintech/Mortgage,N/A,BD Director developing strategic mortgage partnerships at Credible (Fox Corp subsidiary). Expand lending partner network.,https://boards.greenhouse.io/credible/jobs/3072692,Fintech mortgage (30/35 industry). Strategic partnerships + BD (22/25 skills). Director level (20/20). Remote-US (10/10). Salary unlisted (3/10). Week 2.,2,2026-03-09,2026-03-16,REPEAT,Greenhouse,Not Checked,,,,,
