"Status","Score","Score_Rationale","Company","Job_Title","Sector","Location","Language_Requirement","Work_Arrangement","Salary_USD","Job_Summary","URL","URL_Status","Found_On"
"REPEAT","97","Near-perfect fit: TMT L/S equity hedge fund role matching Aaron's software coverage expertise exactly. NYC Midtown location, $175K-$225K base exceeds target. 4+ yrs experience aligns well with ~9 yrs background.","J. Goldman & Co., L.P.","Hedge Fund - Equity Research Analyst - TMT (Long/Short)","Hedge Fund","New York, NY","N/A","In-Office","$175,000-$225,000","TMT L/S equity research analyst at hedge fund. Conduct fundamental company and industry research, build financial models, present actionable trade ideas. 4+ years experience preferred, ideally at an Equity L/S hedge fund in technology sector.","https://www.linkedin.com/jobs/view/4360593281","Verified","LinkedIn"
"REPEAT","92","Strong fit: fundamental equity research at elite hedge fund. Hybrid NYC is ideal. $150K-$225K meets target. Quantitative element may be less aligned but fundamental research core matches well.","Two Sigma","Fundamental Equity Research Analyst","Hedge Fund","New York, NY","N/A","Hybrid","$150,000-$225,000","Fundamental equity research analyst at $50B+ systematic hedge fund. Deep fundamental analysis using traditional and quantitative methods. Hybrid NYC with top-tier compensation and benefits. 1-4+ years experience.","https://careers.twosigma.com/careers/JobDetail?jobId=12669","Verified","LinkedIn, Company Careers"
"NEW","90","Near-perfect fit: TMT L/S equity at a premier single-manager hedge fund. Mentorship and state-of-the-art infrastructure. Aaron's software/TMT expertise and ~9 years experience make him an ideal candidate. Salary unknown but likely top-tier.","Selby Jennings (Recruiter)","L/S Equity Analyst - TMT (Premier Single Manager HF)","Hedge Fund","New York, NY","N/A","In-Office","N/A","Premier single-manager hedge fund seeking L/S equity analyst covering TMT with ~5 years experience. Deep fundamental research, mentorship from senior PMs, and state-of-the-art research infrastructure. Recruiter-posted via Selby Jennings.","https://www.selbyjennings.com/en-us/job/ls-equity-analyst-opportunity-at-premier-single-manager-pr553872_1753120509","Verified","LinkedIn, Selby Jennings"
"NEW","85","Excellent fit: $20B+ multi-strat HF expanding L/S equity team. TMT among available subsectors matches Aaron's coverage. Blends traditional research with data science. NYC location ideal. Salary unknown.","Selby Jennings (Recruiter)","L/S Fundamental Equities Analyst (Multiple Subsectors)","Hedge Fund","New York, NY","N/A","In-Office","N/A","Multi-strategy hedge fund with $20B+ AUM seeking equity research analyst to expand L/S equity team. Sectors include TMT, Industrials, Energy, Financials, Consumer, or Healthcare. Blends traditional research with cutting-edge data science and technology.","https://www.selbyjennings.com/en-us/job/ls-fundamental-equites-analyst-multiple-subsectors-pr541471_1744397809","Verified","LinkedIn, Selby Jennings"
"NEW","85","Strong fit: premier HF fundamental L/S equity role with 7-figure comp upside. Values intellectual curiosity, work ethic, and creativity—aligns with Aaron's analyst ranking and research track record. NYC location ideal.","Selby Jennings (Recruiter)","L/S Equity Analyst (Fundamental Research)","Hedge Fund","New York, NY","N/A","In-Office","N/A","Premier hedge fund seeking fundamental L/S equity analyst. Values intellectual curiosity, work ethic, passion for equity markets, and creativity. Competitive salary with 7-figure total compensation upside.","https://www.selbyjennings.com/en-us/job/ls-equity-analyst-pr546243_1747779027","Verified","LinkedIn, Selby Jennings"
"NEW","83","Excellent sector fit: fundamental L/S equity at Rockefeller's HF strategy. Multi-sector with low net exposure and asymmetric risk/reward focus. Greenwich CT is in target geography. Research skills directly applicable.","VantageRock Capital","Equity Analyst - Long/Short Equity","Hedge Fund","Greenwich, CT","N/A","In-Office","N/A","Fundamental-based, U.S. focused, multi-sector long/short equity hedge fund strategy within Rockefeller Asset Management. Conduct in-depth fundamental research on companies and industries. Low net exposure with asymmetric risk/reward focus. 2-4+ years experience required.","https://www.ziprecruiter.com/Jobs/Long-Short-Equity-Hedge-Fund","Unverified","ZipRecruiter, eFinancialCareers"
"NEW","83","Strong fit: senior equity research leadership at $50B+ systematic HF. Managing and mentoring analysts mirrors Aaron's mentoring experience at JMP Securities. Top-tier compensation expected at Two Sigma.","Two Sigma","Senior Fundamental Equity Research Analyst","Hedge Fund","New York, NY","N/A","Hybrid","N/A","Senior role managing fundamental equity research analysts at $50B+ systematic hedge fund. Translate company and sector insights into scalable alpha. Enforce strong research process, mentor junior analysts. Collaborate with quantitative researchers and data scientists.","https://careers.twosigma.com/careers/JobDetail/New-York-New-York-United-States-Senior-Fundamental-Equity-Research-Analyst/6688","Verified","Company Careers"
"NEW","83","Strong coverage fit: deep fundamental research on public internet companies globally. Internet coverage is adjacent to Aaron's software expertise. Financial modeling and investment idea generation align well with current skills.","Selby Jennings (Recruiter)","Equity Research Analyst - Internet Focus","Hedge Fund","New York, NY","N/A","In-Office","N/A","Equity research analyst conducting deep fundamental research and financial modeling on public internet companies globally. Generating actionable investment ideas for portfolio management team. Buy-side hedge fund role via recruiter.","https://www.selbyjennings.com/en-us/job/equity-research-analyst-internet-focus-pr545493_1747675893","Verified","LinkedIn, Selby Jennings"
"REPEAT","80","Good fit: senior equity research leadership at boutique IB. Similar to current sell-side role but with management scope. NYC location ideal. Salary likely competitive but not listed.","BTIG","Associate Director of Equity Research","Investment Bank","New York, NY","N/A","In-Office","N/A","Reports to Head of Equity Research, helping develop and implement department best practices. Senior research leadership role at boutique investment bank.","https://boards.greenhouse.io/btig27/jobs/7724790002","Unverified","Greenhouse"
"REPEAT","79","Good fit: L/S equity at elite hedge fund (Point72). Stamford CT commutable from NYC. 'Business Analyst' title may indicate support rather than investment role. Salary likely strong.","Point72","Business Analyst, L/S Equity","Hedge Fund","Stamford, CT","N/A","In-Office","N/A","Business Analyst supporting long/short equity strategies at Steve Cohen's multi-billion dollar hedge fund.","https://careers.point72.com/CSJobDetail?jobName=business-analyst-l-s-equity&jobCode=CSS-0013340","Unverified","Company Careers"
"NEW","78","Good fit: direct equity financial analyst role at Steve Cohen's Point72. NYC/Stamford locations in target cities. 1+ years requirement suggests entry/mid-level but direct buy-side opportunity. Point72 compensation known to be competitive.","Point72","Equity Financial Analyst - US","Hedge Fund","New York, NY / Stamford, CT / Chicago, IL","N/A","In-Office","N/A","Equity financial analyst at Steve Cohen's multi-billion dollar hedge fund. Requires 1+ years in equity research, investment banking, hedge fund, investment management, or PE. Strong financial modeling and business analysis skills required. Available in NYC, Stamford, and Chicago.","https://careers.point72.com/CSJobDetail?jobName=equity-financial-analyst-us&jobCode=LSI-0000006","Verified","Company Careers"
"REPEAT","78","Good fit: senior equity analyst similar to current role. Generalist/special situations differs from TMT but transferable. NYC location ideal.","Seaport Global Holdings","Senior Equity Analyst (Generalist & Special Situations)","Investment Bank","New York, NY","N/A","In-Office","N/A","Part of Seaport Research Partners sell-side platform providing buy/sell recommendations. Minimum 7 years equity research experience. Serves 3,000+ institutional accounts.","https://jobs.lever.co/seaportglobal/1056feac-5210-4a44-a7e9-e21b267163a9","Unverified","Lever"
"REPEAT","77","Good fit: research analyst with buy-side component (Penn Capital). NYC, CFA preferred matches Aaron's credentials. 5+ year experience aligns.","Seaport Global Holdings","Research Analyst","Investment Bank","New York, NY","N/A","In-Office","N/A","Research analyst performing security-level analysis for Penn Capital portfolios. Requires 5+ years experience, CFA preferred.","https://jobs.lever.co/seaportglobal/1c717fba-04bd-441b-9047-9f4433929023","Unverified","Lever"
"NEW","76","Moderate fit: prestigious buy-side training program at Point72 leading to L/S equity analyst role. Academy structure may feel like a step down for VP-level candidate, but provides direct entry to elite HF platform.","Point72","Academy Investment Analyst Program (Experienced Professionals)","Hedge Fund","New York, NY","N/A","In-Office","N/A","10-month paid training program at Point72 designed for experienced professionals transitioning to buy-side. Prepares candidates for L/S equity financial analyst roles. Includes intensive training and mentorship. Over 190 graduates since 2015, some now portfolio managers.","https://job-boards.greenhouse.io/point72/jobs/7909101002","Verified","Greenhouse, Company Careers"
"NEW","75","Good fit: L/S equity HF role with strong seniority match (5-10 yrs). Healthcare Services is outside Aaron's TMT expertise, but fundamental research methodology and financial modeling skills transfer well.","Selby Jennings (Recruiter)","Investment Analyst - Healthcare Services (L/S Equity)","Hedge Fund","New York, NY","N/A","In-Office","N/A","L/S equity hedge fund seeking investment analyst with 5-10 years Healthcare Services experience. Conduct in-depth fundamental research, develop detailed financial models and valuation analyses. NYC-based via recruiter.","https://www.selbyjennings.com/en-us/job/investment-analyst-healthcare-services-ls-equity-pr535853_1741119549","Verified","LinkedIn, Selby Jennings"
"NEW","75","Moderate fit: buy-side L/S equity research at Alger supporting PM. Healthcare sector differs from TMT but research methodology aligns. 3+ years experience requirement is below Aaron's seniority. NYC location ideal.","Alger","Equity Research Analyst - Healthcare L/S Equity","Asset Management","New York, NY","N/A","In-Office","N/A","Equity research analyst supporting Long/Short Equity Portfolio Manager at Alger with focus on Healthcare sector. Buy-side fundamental research role. Minimum 3+ years analyst experience required, preferably on buy side.","https://www.linkedin.com/jobs/view/equity-research-analyst-healthcare-l-s-equity-at-alger-3711174637","Unverified","LinkedIn"
"NEW","75","Good coverage fit: Internet, Media, Technology, and AI at a leading asset manager. Not hedge fund but strong TMT alignment with Aaron's software expertise. NYC location ideal. Fundamental research approach.","ClearBridge Investments","Equity Research Analyst - Internet, Media, Technology & AI","Asset Management","New York, NY","N/A","Hybrid","N/A","Covering Internet, Media, Technology, and AI companies on a fundamental research team at ClearBridge Investments, a leading asset manager. NYC-based with hybrid work arrangement.","https://www.linkedin.com/jobs/equity-research-analyst-jobs-new-york","Unverified","LinkedIn"
"NEW","73","Moderate fit: L/S equity at Verition multi-strat HF in NYC. Industrials sector differs from TMT but fundamental research skills transfer. 2-5 yr requirement is below Aaron's experience level.","Verition Fund Management","Investment Analyst - Industrials Equity Long/Short","Hedge Fund","New York, NY","N/A","In-Office","N/A","Analyst on Industrials Equity Long/Short team at multi-strategy hedge fund. Sourcing, analyzing, and monitoring long and short investment opportunities within the industrials sector. Working closely with PM(s) to develop high-conviction ideas. 2-5+ years experience.","https://www.verition.com/open-positions","Unverified","LinkedIn, Company Careers"
"REPEAT","73","Moderate fit: HF consulting but requires 10+ years PM experience. Aaron has research not PM background. Remote flexibility positive. Contract nature less ideal.","Arootah","Consultant - Portfolio Manager (Fractional/Contract)","Hedge Fund","Remote","N/A","Remote-US","N/A","Experienced PMs consult to hedge fund and family office clients. Founded by former COO of Blue Ridge Capital ($10B hedge fund). Contract/consulting role.","https://jobs.lever.co/arootah/07f79048-131b-4a9d-94a6-8e6f8bacc1f1","Unverified","Lever"
