"Status","Score","Score_Rationale","Company","Job_Title","Sector","Location","Language_Requirement","Work_Arrangement","Salary_USD","Job_Summary","URL","URL_Status","Found_On"
"NEW","97","Director-level BD at defense tech (30 seniority); strategic capture/DoD BD directly leverages IB deal skills and defense network (25 skills); DC location perfect (20 location); defense tech = full industry credit (15 industry); $210-320K salary range meets target (7 salary)","Shield AI","Director, Strategic Capture - US Army","Defense Tech/AI","Washington, DC","N/A","In-Office","$210,000 - $320,000","Strategic business development role targeting U.S. Army market at Shield AI, an AI-powered autonomous systems defense company. Develops and executes end-to-end capture strategies for major DoD programs.","https://jobs.lever.co/shieldai","Verified","Lever"
"NEW","95","Director-level defense BD (30 seniority); international BD/strategic engagement aligns with Morgan Stanley London experience and Australian/Canadian embassy network (25 skills); DC location (20 location); defense tech (15 industry); $170-250K salary, slightly below $250K target (5 salary)","Shield AI","Director, International Strategic Engagement - Europe & Africa","Defense Tech/AI","Washington, DC","N/A","In-Office","$170,000 - $250,000","Director of international strategic engagement at Shield AI, focusing on expanding partnerships and defense relationships across Europe and Africa. Leverages Shield AI's autonomous systems for allied defense markets.","https://jobs.lever.co/shieldai","Verified","Lever"
"NEW","93","VP-level cybersecurity BD (25 seniority); strategic alliances/partnerships directly maps to IB relationship skills (25 skills); Remote US (20 location); cybersecurity = full industry credit (15 industry); salary N/A (5 salary); top tier company for defense/security","SecurityScorecard","VP, Strategic Alliances & Partnerships","Cybersecurity","Remote - US","N/A","Remote-US","N/A","VP leading strategic alliances and partnerships at SecurityScorecard, a leading cybersecurity ratings platform used by Fortune 500 and government agencies. Drives partner ecosystem expansion and enterprise adoption.","https://boards.greenhouse.io/embed/job_board?for=securityscorecard","Verified","Greenhouse"
"NEW","92","Director-level defense BD (30 seniority); DoD growth strategy/capture directly leverages deal skills (25 skills); likely Austin/DC but need to verify location (10 location avg); defense tech unmanned maritime (15 industry); salary N/A (5 salary); requires TS/SCI","Saronic","Director of Growth","Defense Tech/Maritime","Austin, TX / Washington, DC","N/A","In-Office","N/A","Director of Growth leading strategic capture for U.S. Department of Defense programs in unmanned maritime systems at Saronic Technologies. Requires direct access to senior leadership and TS/SCI eligibility.","https://jobs.lever.co/saronic/21fd0a71-be32-446c-b794-8a25cb75dc36","Verified","Lever"
"NEW","91","Head-of-level defense finance (30 seniority); de facto CFO of largest division, capital markets/pricing models directly leverage IB skills (25 skills); likely Costa Mesa/DC (10 location); defense tech = full credit (15 industry); strong equity comp likely $250K+ TC (8 salary); Anduril $60B valuation, fastest-growing division","Anduril","Head of Finance, Air Dominance & Strike","Defense Tech","Costa Mesa, CA / Washington, DC","N/A","In-Office","N/A (competitive equity)","Strategic finance leader serving as de facto CFO for Anduril's largest and fastest-growing division (Air Dominance & Strike). Partners with BD and leadership on new business models and pricing structures. Anduril valued at $60B+.","https://jobs.revolution.com/companies/anduril/jobs/47695852-head-of-finance-air-dominance-strike","Verified","Greenhouse"
"NEW","90","Head-of-level defense finance (30 seniority); division CFO role leverages IB financial advisory skills (25 skills); likely Costa Mesa/DC (10 location); defense tech (15 industry); strong equity comp (8 salary); maritime/maneuver aligns with infrastructure policy background","Anduril","Head of Finance, Maritime and Maneuver Dominance","Defense Tech","Costa Mesa, CA / Washington, DC","N/A","In-Office","N/A (competitive equity)","Strategic finance leader for Anduril's Maritime and Maneuver Dominance division. Serves as divisional CFO partnering with business development and leadership on financial strategy for defense programs.","https://www.linkedin.com/jobs/view/head-of-finance-maritime-and-maneuver-dominance-at-anduril-industries-4369269601","Verified","LinkedIn"
"NEW","90","VP-level IR at cybersecurity company (25 seniority); first VP IR role, capital markets/institutional investor relations = perfect IB skill transfer (25 skills); likely remote or hybrid (15 location); cybersecurity = full industry credit (15 industry); salary N/A (5 salary); Snyk serves 1,200 customers incl. Google, Intuit","Snyk","VP, Investor Relations","Cybersecurity/DevSecOps","Remote / Hybrid","N/A","Remote-US","N/A","First VP of Investor Relations at Snyk, working with CFO and executive team to establish IR strategy. Communicates corporate strategy, competitive positioning, and financial results. Requires 10+ years experience including 5+ years IR in tech. Snyk's Developer Security Platform serves 1,200+ customers.","https://boards.greenhouse.io/snyk/jobs/5697835002","Verified","Greenhouse"
"NEW","89","DuckDuckGo VP BD (25 seniority); BD/partnerships role leverages relationship and deal skills (25 skills); Remote US (20 location); privacy tech, adjacent to cybersecurity (10 industry); $320K salary exceeds target (10 salary); strong cultural fit for privacy-minded tech","DuckDuckGo","VP, Business Development","Privacy Tech","Remote","N/A","Remote-US","$320,000","VP of Business Development at DuckDuckGo, a remote-first online protection company with 300+ employees. Leads strategic business development initiatives for privacy-focused products used by millions globally.","https://jobs.ashbyhq.com/duck-duck-go/276ae352-55b5-4fb2-9b90-ed7db9f3df3e","Verified","Ashby"
"NEW","88","Director-level defense BD (30 seniority); BD/capture for $50M+ DoD opportunities directly leverages IB deal management (25 skills); likely DC area (18 location); defense = full industry credit (15 industry); salary N/A (5 salary); reports to Chief Growth Officer","Threat Tec","Director of Business Development","Defense/Federal","Washington, DC area","N/A","In-Office","N/A","Director of BD reporting to Chief Growth Officer at Threat Tec. Identifies, qualifies, leads and manages capture of new defense and federal business opportunities valued above $50M. Full business development lifecycle.","https://jobs.lever.co/threattec/f4def0b1-1d1f-41b8-8e95-9b515dcdfbfa","Verified","Lever"
"NEW","88","Head-of level capital markets + corporate dev (30 seniority); M&A, investor relations, capital markets strategy = exact IB skill set (25 skills); SF location (5 location); AI with potential defense contracts = 15/15 industry credit; salary likely $300K+ (8 salary); Anthropic is leading AI safety company","Anthropic","Head of Capital Markets & Corporate Development","AI/Tech","San Francisco, CA","N/A","In-Office","N/A","Building and leading teams across investor relations and corporate development at Anthropic. Develops institutional investor relationships while driving strategic transactions (M&A, partnerships, capital markets). Requires 15+ years experience.","https://boards.greenhouse.io/anthropic/jobs/4413874008","Verified","Greenhouse"
