Company,City_Country,Amount_USD,Round,Sector,Source,Lead_Investors,Description
3LC,Norway,Unknown,Unknown,AI training data,Sunday CET,Unknown,AI training data platform
Adronite,Seattle WA,$5M,Series A,Codebase intelligence AI,FINSmes Feb 20,Unknown,Codebase intelligence AI
Agaton,Stockholm,€8.4M,Unknown,Revenue insights AI,EU-Startups Feb 19,Unknown,Revenue insights AI
Aizy,Netherlands,€2M,Unknown,AI marketing,EU-Startups Feb 19,Unknown,AI marketing platform
Aliro,Boston MA,$15M,Series A,Quantum computing,FINSmes Feb 19,Unknown,Quantum computing platform
Altesa BioSciences,Atlanta GA,$75M,Series B,Pharma,FINSmes Feb 20,Forbion,Pharmaceutical company
Apptronik,Austin TX,$520M,Series A-X,AI robotics,FINSmes Feb 17,Unknown,AI-powered robotics platform
ARCYN Defense,Washington DC,Unknown,Seed,Defense tech,FINSmes Feb 19,Unknown,Defense technology startup
Ascent,San Diego CA,$45M,Series C,Financial products/education,FINSmes Feb 20,Unknown,Financial products and education platform
Avantos,NYC,$25M,Series A,AI-native OS,FINSmes Feb 19,Unknown,AI-native operating system
Axmed,Basel/Nairobi,€5M,Unknown,Medical/Healthcare,EU-Startups Feb 19,Unknown,Medical device/healthcare technology (grant)
Badge,San Francisco CA,$17.1M,Unknown,Wallet platform,FINSmes Feb 20,TTV Capital,Wallet/payment platform
Breaker,Austin TX/Sydney,$6M,Seed,Defense tech,FINSmes Feb 19,Unknown,Defense technology startup
Braintrust,San Francisco CA,$80M,Series B,AI observability,FINSmes Feb 19,Unknown,AI observability/monitoring platform
Certivo,Seattle WA,$4M,Seed,Supply chain compliance AI,FINSmes Feb 18,Unknown,Supply chain compliance AI
ChipAgents,Santa Clara CA,$50M,Series A1,Semiconductor AI,FINSmes Feb 18,Unknown,Semiconductor AI platform
Circuit,Austin TX,$30M,Unknown,Manufacturing AI,FINSmes Feb 18,Unknown,Manufacturing/industrial AI
