Platform,Search_Title,Search_Location,Results_Count,Job_Title,Company,Location,Posting_Date,URL,Salary
Greenhouse,Chief of Staff,Remote,4,GTM Strategy Principal,Remote,Remote,21 hours ago,https://boards.greenhouse.io/remotecom/jobs/7609183003,N/A
Greenhouse,Chief of Staff,Remote,4,Executive Assistant to CEO,Earnest,Remote U.S.,1 day ago,https://boards.greenhouse.io/earnest/jobs/7569801,N/A
Greenhouse,Chief of Staff,Remote,4,Director of Transformation,Abnormal AI,Remote - USA,1 day ago,https://boards.greenhouse.io/abnormalsecurity/jobs/7608277003,N/A
Greenhouse,Chief of Staff,Remote,4,Director Project Management,EdReports,Remote,2 days ago,https://boards.greenhouse.io/edreports/jobs/5030289007,N/A
Greenhouse,Chief of Staff,Paris,0,No results,N/A,N/A,N/A,N/A,N/A
Greenhouse,Chief of Staff,Vienna,0,No results,N/A,N/A,N/A,N/A,N/A
Greenhouse,Chief of Staff,Manila,0,No results,N/A,N/A,N/A,N/A,N/A
Greenhouse,Partnerships,Remote,82,Campus Partnerships - Remote BDR,Juno,Remote,3 days ago,https://boards.greenhouse.io/juno/jobs/4112349009,N/A
Greenhouse,Partnerships,Remote,82,Strategic Partnerships Account Manager,SI,Remote,2 days ago,https://boards.greenhouse.io/si/jobs/7129153,N/A
Greenhouse,Partnerships,Remote,82,Business Development & Partnerships Lead,Axon,Remote,6 days ago,https://boards.greenhouse.io/axon/jobs/7586621003,N/A
Greenhouse,Partnerships,Remote,82,Partner Account Manager,Human Interest,Remote,21 hours ago,https://boards.greenhouse.io/humaninterest/jobs/7572010,N/A
Greenhouse,Partnerships,Remote,82,Business Development Representative,Defense Unicorns,Remote,19 hours ago,https://boards.greenhouse.io/defenseunicorns/jobs/5036942007,N/A
Greenhouse,Partnerships,Remote,82,Assistant Video Game Partnerships,Allied Global Marketing,Remote,3 days ago,https://boards.greenhouse.io/alliedglobalmarketing/jobs/4653724005,N/A
Greenhouse,Partnerships,Remote,82,Mid-Market Account Executive,12twenty,Remote,2 days ago,https://boards.greenhouse.io/12twenty/jobs/4615349005,N/A
Greenhouse,Partnerships,Remote,82,Director Mid-Market Sales,Transcarent,Remote,21 hours ago,https://boards.greenhouse.io/transcarent/jobs/5766714004,N/A
Greenhouse,Partnerships,Remote,82,Expansion Account Executive Enterprise,Brex,Remote,2 days ago,https://boards.greenhouse.io/brex/jobs/8393363002,N/A
Greenhouse,Partnerships,Paris,1,Software Prototype Intern PQ Cryptography,PQShield,Paris Oxford Remote,3 days ago,https://boards.greenhouse.io/pqshield/jobs/4766811101,N/A
Greenhouse,Partnerships,Vienna,1,Intern Marketing,Bitpanda,Vienna,1 day ago,https://boards.greenhouse.io/bitpanda/jobs/4767608101,N/A
Greenhouse,Partnerships,Manila,0,No results,N/A,N/A,N/A,N/A,N/A
Lever,Chief of Staff,Remote,2,Business Strategy & Development Analyst,HighLevel,United States Remote,5 days ago,https://jobs.lever.co/gohighlevel/5874a92d-754a-4021-a0f3-784aab4044a1,N/A
Lever,Chief of Staff,Remote,2,Business Operations Analyst,Profound Research,Remote,18 hours ago,https://jobs.lever.co/profoundresearch/dfc0497e-a82a-46f5-9cbf-da208f0d6c15,N/A
Lever,Chief of Staff,Paris,0,No results,N/A,N/A,N/A,N/A,N/A
Lever,Chief of Staff,Vienna,0,No results,N/A,N/A,N/A,N/A,N/A
Lever,Chief of Staff,Manila,0,No results,N/A,N/A,N/A,N/A,N/A
Lever,Partnerships,Remote,4,Remote Lead Partner Manager,Jobgether,Remote Philippines,5 days ago,https://jobs.lever.co/jobgether,N/A
Lever,Partnerships,Remote,4,Partner Relationship Manager,Jobgether,Remote,6 days ago,https://jobs.lever.co/jobgether,N/A
Lever,Partnerships,Remote,4,General Counsel,charity: water,Remote,7 days ago,https://jobs.lever.co/charitywater,N/A
Lever,Partnerships,Remote,4,Partner & Channel Sales Manager,Jobgether,Remote US,3 days ago,https://jobs.lever.co/jobgether,N/A
Lever,Partnerships,Paris,4,SDR/BDR Intern Italian Market,Aircall,Paris,2 days ago,https://jobs.lever.co/aircall,N/A
Lever,Partnerships,Paris,4,VP Finances,Aqemia,Paris,6 days ago,https://jobs.lever.co/aqemia.com,N/A
Lever,Partnerships,Paris,4,GTM Onboarding Program Manager,Aircall,Paris/New York,4 days ago,https://jobs.lever.co/aircall,N/A
Lever,Partnerships,Paris,4,Director Social Media,Illumination,Paris,3 days ago,https://jobs.lever.co/illumination,N/A
Lever,Partnerships,Vienna,3,Business System Analyst Banking,Qualysoft,Vienna Austria,4 days ago,https://jobs.lever.co/qualysoft,N/A
Lever,Partnerships,Vienna,3,2026 Summer Internship Marketing,Spotify,Vienna,7 days ago,https://jobs.lever.co/spotify-apply,N/A
Lever,Partnerships,Vienna,3,Senior Data Engineer Banking,Qualysoft,Vienna Austria,5 days ago,https://jobs.lever.co/qualysoft,N/A
