Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On
REPEAT,93,"Perfect intersection of commercial banking expertise and partnership development. Business banking focus directly matches JPMorgan startup banking experience (40/40 skills, 35/35 industry, 18/25 experience).",Monzo,Growth Partnerships Lead - Business Banking,Fintech/Banking,London,N/A,Hybrid,"$131,000-$162,000","First Business Banking Growth Partnerships Lead. Drive ambitious growth targets, identify and develop strategic partnerships to expand footprint in the switcher segment. Salary £105k-£130k plus stock options.",https://job-boards.greenhouse.io/monzo/jobs/7101750,Unverified,Greenhouse
REPEAT,92,"Startup ecosystem partnerships directly transfer from JPMorgan LA startup banking and accelerator work. EMEA scope matches London base. AI sector is high-growth (40/40 skills, 28/35 industry, 24/25 experience).",Anthropic,Startup Partnerships - EMEA,AI/Technology,London,N/A,Hybrid,N/A,"Builder-minded Startup Partnerships UK lead to drive adoption of AI capabilities within the startup ecosystem. 0-to-1 opportunity designing programs for startups to build with Claude, partnering with VCs and accelerators.",https://job-boards.greenhouse.io/anthropic/jobs/5021140008,Unverified,Greenhouse
NEW,91,"Premier fintech unicorn CoS-to-CEO role. IPO readiness work leverages finance/strategy MBA background. Payments sector directly aligns with banking experience. Global scope matches VP seniority (40/40 skills, 35/35 industry, 16/25 experience).",Airwallex,Chief of Staff - CEO,Fintech/Payments,London,N/A,Hybrid,N/A,"Part of CEO office driving key strategic initiatives globally. Responsibilities include cross-functional deep dives, revenue growth, cost optimization, M&A, and IPO readiness. 100,000+ business customers.",https://jobs.ashbyhq.com/airwallex/26923274-95b8-4365-b8ab-fa09e6755004,Unverified,Ashby
REPEAT,90,"Strong zero-to-one fit at financial automation startup. CoS role matches operator background perfectly. Financial sector aligns with JPMorgan/SVB experience (38/40 skills, 30/35 industry, 22/25 experience).",LiveFlow,Chief of Staff,Fintech/Financial Automation,London,N/A,Hybrid,N/A,Support CEO at financial automation startup building tools for accounting and finance teams. Drive strategic initiatives and operational execution.,https://jobs.ashbyhq.com/liveflow/df3eb756-fcb2-4a0a-adff-1556c28b919a,Unverified,Ashby
REPEAT,89,"Senior partnership leadership leverages ecosystem development and cross-functional expertise. Zero-to-one builder mandate matches JPMorgan LA experience. Regional head scope matches seniority (38/40 skills, 28/35 industry, 23/25 experience).",Anthropic,Head of UK & Northern Europe Partnerships,AI/Technology,London,N/A,Hybrid,N/A,"Build and scale GSI and consulting partner ecosystem across UK and Ireland. Own strategic partnerships with firms like Accenture, Deloitte, PwC. Builder role taking GSI partnerships from zero to scaled revenue engines.",https://job-boards.greenhouse.io/anthropic/jobs/4982149008,Unverified,Greenhouse
NEW,88,"Direct fintech/banking alignment at UK's leading neobank. CEO-level CoS role matches operator and strategic execution background perfectly. 10+ year requirement is a stretch but VP experience is strong (36/40 skills, 35/35 industry, 17/25 experience).",Monzo,Chief of Staff,Fintech/Banking,London,N/A,Hybrid,N/A,Work with Monzo's leadership team to deliver critical projects and own strategic initiatives. Requires 10+ years experience driving outcomes through influence and consensus building.,https://boards.greenhouse.io/monzo/jobs/2289088,Unverified,Greenhouse
NEW,88,"Director-level fintech partnerships at leading corporate card company. Role directly matches Phil's BD/partnerships expertise. High comp reflects seniority match (40/40 skills, 35/35 industry, 13/25 experience - NY not DC but relevant).",Ramp,Director - Product Partnerships,Fintech/Corporate Cards,New York,N/A,Hybrid,"$255,000-$300,000","Define and execute partnerships strategy with most critical partners. Negotiate major commercial and legal deals. 8+ years experience in BD, Partnerships, or Product required. $255k-$300k + equity.",https://jobs.ashbyhq.com/ramp/224449f1-5164-41af-8c5b-d3cb33cf6621,Unverified,Ashby
NEW,87,"Direct fintech/banking sector match at digital bank. CEO-reporting CoS role perfectly aligns with operator and strategic execution background. Green banking is a growing niche (36/40 skills, 35/35 industry, 16/25 experience).",Tandem Bank,Chief of Staff,Fintech/Banking,London,N/A,Hybrid,N/A,"Report to the CEO, working across all aspects of cross-functional projects. Tandem is the UK's greener digital bank with £1.5bn in assets under management, focused on sustainable finance.",https://boards.greenhouse.io/tandemmoneylimited/jobs/6206792002,Unverified,Greenhouse
REPEAT,86,"GenAI partnerships and corp dev role leverages both BD expertise and strategic evaluation skills from VC experience. Premier AI company (38/40 skills, 28/35 industry, 20/25 experience).",DeepMind,Business and Corporate Development Manager (GenAI Product & Data Partnerships),AI/Technology,London,N/A,Hybrid,N/A,Drive product partnerships and licensing opportunities for DeepMind's generative AI. Primary thought partner for internal teams and external organizations from concept through negotiation to execution.,https://job-boards.greenhouse.io/deepmind/jobs/7262268,Unverified,Greenhouse
REPEAT,86,"Fintech CoS role aligns with commercial operator expertise. Early-stage company matches zero-to-one build experience from JPMorgan LA (36/40 skills, 30/35 industry, 20/25 experience).",Tilt,Chief of Staff,Fintech/Corporate Cards,London,N/A,Hybrid,N/A,Support leadership at corporate expense management fintech. Drive strategy and operations for early-stage company building modern corporate card solutions.,https://jobs.ashbyhq.com/tilt/fe2c6309-3dfc-4fd5-9e32-854fe09a0bc0,Unverified,Ashby
