Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On
NEW,89,"Director of Operations/Strategy at Sentient, an AI company. Strategic and operational leadership supporting the cofounder. Cross-functional coordination and executive-level initiatives. Strong match to Joey's CoS/strategy ops experience. [Sector adj: +5]",Sentient,Director of Operations/Strategy,AI / ML,Remote,N/A,Remote-Global,N/A,"Strategic and operational leadership role supporting the cofounder in driving company-wide planning, cross-functional coordination, and executive-level initiatives at an AI company.",https://jobs.ashbyhq.com/sentient/7f461867-90e2-4a8f-a367-39a9299216b4,API-verified,"Ashby, API-verified"
REPEAT,88,"Direct CoS match at growth-stage startup. Strategic ops, partnerships, CEO support align perfectly with Joey's Anzu/JPM experience. Explicitly global remote with work-from-anywhere policy.",Automattic (Jetpack),"Head of Partnerships and Distribution, Jetpack",Technology / Open Source / SaaS,Remote (Worldwide),N/A,Remote-Global,N/A,"Lead the Partnerships and Distribution team responsible for scaling distribution via strategic partnerships and enterprise sales for Jetpack. Reports to leadership at Automattic, a fully distributed global company.",https://boards.greenhouse.io/automatticcareers/jobs/3808865,Not Checked,Greenhouse
REPEAT,88,Head of Partnerships at fully remote fintech welcoming applicants from almost anywhere. Strong fit for Joey's fintech background and partnership development experience. [Sector adj: +5],Monarch Money,Head of Partnerships,Fintech / Personal Finance,Remote (Global - almost anywhere),N/A,Remote-Global,N/A,"Lead partnerships at Monarch Money, a personal finance app. Fully remote company welcoming applicants from almost anywhere.",https://jobs.ashbyhq.com/monarchmoney/62119756-7632-4ba6-8819-977ae072e11c,Not Checked,Ashby
NEW,87,Head of Startup Partnerships at Anthropic (EMEA). Leading AI company. Team leadership across EMEA with global responsibilities. Extremely strong industry + role + seniority match. [Sector adj: +5],Anthropic,Head of Startup Partnerships Lead (EMEA),AI / ML,Remote (EMEA),N/A,Remote-Global,N/A,"Lead and develop a team of startup partnership professionals across EMEA with global responsibilities at Anthropic, a leading AI safety company.",https://app.welcometothejungle.com/jobs/4mK3YlWP,Not Checked,WTTJ
REPEAT,86,"Head of Strategic Ops at climate tech startup. Fully remote with global flexibility (NA, UK, EMEA). Strong match to Joey's strategic ops and partnership experience.",Scope3 PBC,Head of Strategic Operations,Climate Tech / AdTech,"Remote (Global - NA, UK, EMEA preferred)",N/A,Remote-Global,N/A,"Lead strategic operations at Scope3, a climate tech company focused on decarbonizing digital advertising. Fully remote and asynchronous, operating globally.",https://boards.greenhouse.io/scope3pbc/jobs/4263051006,Not Checked,Greenhouse
REPEAT,86,"Chief of Staff at Apheris, a data collaboration startup. Remote-first across distributed teams. Hands-on role with CEO exposure. [Sector adj: +5]",Apheris,Chief of Staff,Data / AI / Privacy Tech,Remote (Global - distributed teams),N/A,Remote-Global,N/A,"Hands-on, high-trust role at the center of Apheris with direct CEO exposure. Remote-first environment across distributed teams.",https://app.welcometothejungle.com/jobs/4v68lVGl,Not Checked,WTTJ
NEW,86,"VP Global Partnerships at Agicap, a European fintech. Berlin office or remote. Global scope, strong partnerships fit. [Sector adj: +5]",Agicap,VP Global Partnerships,Fintech / SaaS,Remote (Berlin or remote),N/A,Remote-Global,N/A,"Lead global partnerships at Agicap, a European fintech company. Can be based in Berlin office or work remotely.",https://jobs.lever.co/agicap/b1dcb26c-fceb-44a1-bd2e-c6c80cdf4273,Not Checked,Lever
REPEAT,85,"Director of Partnerships at Deel, a leading global employment platform. Explicit global remote. Strong partnerships focus aligns with Joey's Anzu and JPM ecosystem building experience.",Deel,Director of Partnerships,HR Tech / Global Employment,Remote (Global),N/A,Remote-Global,N/A,"Build and manage strategic relationships with capital allocators that drive growth, expand Deel's market reach, and enhance product offerings. 10+ years experience required.",https://app.welcometothejungle.com/jobs/Sk5j45Cf,Not Checked,WTTJ
REPEAT,85,"Head of Partnerships Europe at Yuno, a fintech company. Explicit European remote. Joey's Lisbon base and fintech background make this a strong fit. [Sector adj: +5]",Yuno,Head of Partnerships - Europe,Fintech / Payments,Remote (Europe),N/A,Remote-Global,N/A,"Lead European partnerships for Yuno, a payments orchestration platform. Drive partnership strategy across the European market.",https://jobs.lever.co/yuno/12b94079-5efe-4102-96e7-60d8850d0517,Not Checked,Lever
NEW,85,"Strategic Initiatives Director at Botify. Reports to SVP of Operations. Partners with Finance, Sales, CS, Marketing, Product, R&D. French company with global presence. [Sector adj: +5]",Botify,Strategic Initiatives Director,Technology / SEO / AI,Remote (Global),N/A,Remote-Global,N/A,"Lead strategic initiatives reporting to SVP of Operations, partnering across Finance, Sales, Customer Success, Marketing, Product, R&D, and People/Talent teams at Botify.",https://jobs.lever.co/botify/69fc8a0f-6a24-45f5-b2d6-828e9843d509,Not Checked,Lever
NEW,85,CreatorDeck — Direct role match. API-verified live posting.,CreatorDeck,Director of Partnerships,Creator Economy / Tech,Remote,N/A,Remote-Global,N/A,API-verified live posting at CreatorDeck. Director of Partnerships role located in Remote.,https://jobs.lever.co/creatordeck/4350161b-39af-472b-8c91-63c048b8229b,API-verified,"Lever, API-verified"
REPEAT,84,Assoc Director of Partnerships Programs at globally distributed Deel. Program strategy and partner ecosystem scaling match Joey's program management and partnerships skills.,Deel,Associate Director of Partnerships Programs,HR Tech / Global Employment,Remote (Global),N/A,Remote-Global,N/A,"Design and build Partner Program strategy to scale Deel's ecosystem of 1,000+ active partners through onboarding, enablement, and activation.",https://app.welcometothejungle.com/jobs/EDFC3yNS,Not Checked,WTTJ
REPEAT,84,"Head of Partnerships & Alliances at Pleo, European fintech. Remote across Europe. Multi-year partnership strategy role. [Sector adj: +5]",Pleo,Head of Partnerships & Alliances,Fintech / Expense Management,Remote (Europe),N/A,Remote-Global,N/A,"Develop and implement a multi-year partnership strategy at Pleo, a European business spending platform.",https://boards.greenhouse.io/pleo/jobs/4804826003,Not Checked,Greenhouse
