Score,Company,Amount,Stage,Sector,Location,Description,Investors,Rationale,Prospecting_Angle,Source,Source_Date
9,Chariot Defense,$34M,Series A,Defense Tech,"San Francisco, CA",Defense technology company building battlefield power systems. Led by a16z.,a16z (lead),Core defense tech; a16z-backed Series A = immediate need for senior finance/BD hires to build capture pipeline. VP Finance or Director BD role likely.,Post-Series A with top-tier VC backing signals rapid scaling. Defense BD leader or first VP Finance hire needed.,"StrictlyVC, FINSmes",2026-02-26
9,NODA AI,$25M,Series A,Defense Tech / AI,"Austin, TX","Algorithmic platform for orchestrating weapons and tactics for multi-domain, multi-vendor defense systems.",Bessemer Venture Partners (lead),Core defense AI; Bessemer-led Series A = hiring spree imminent. Multi-domain defense ops aligns perfectly with Vivienne's BD/strategy background.,Defense AI platform with autonomous ops focus. Needs senior BD to build DoD capture pipeline and VP Finance for post-Series A financial ops.,"StrictlyVC, FINSmes",2026-02-27
8,Aalyria,$100M,Series B,Aerospace / Defense Comms,"Livermore, CA",Aerospace communications company building satellite and laser comms infrastructure. $1.3B valuation.,Not disclosed,Defense-adjacent aerospace unicorn. $100M Series B at $1.3B valuation = building out C-suite finance team. IR and capital markets expertise valuable for potential IPO path.,Unicorn status + defense/aerospace sector = CFO or VP Finance hire likely. IR expertise for future public markets path.,"StrictlyVC, FINSmes",2026-02-24
8,Revel,$150M,Series B,Defense / Aerospace / Energy,"Los Angeles, CA","Software platform for hardware test and control serving aerospace, defense, and energy sectors.",Not disclosed,"Triple-sector overlap (defense + aerospace + energy). $150M Series B = major scale-up, needs VP Finance and BD leadership for govt/defense contracts.",Massive raise for hardware-serving platform across all three of Vivienne's target sectors. Finance and BD leadership hires imminent.,"StrictlyVC, FINSmes",2026-02-27
8,Astelia,$35M,Growth,Cybersecurity,"New York, NY",NYC-based cybersecurity platform.,Not disclosed,Cybersecurity + NYC location = perfect geographic and sector fit. $35M raise = building finance function.,NYC cybersecurity company at growth stage. VP Finance or Head of Finance hire likely post-raise.,"StrictlyVC, FINSmes",2026-02-25
8,Basis,$100M,Series B,AI / Fintech,"New York, NY",AI agent platform for accountants. $1.15B valuation. NYC-based.,Not disclosed,NYC-based fintech unicorn. AI + accounting = finance leadership expertise critical. VP Finance or CFO hire likely at unicorn stage.,NYC unicorn in AI-powered finance. CFO/VP Finance hire almost certain at this stage and valuation.,"StrictlyVC, FINSmes",2026-02-25
8,Rowspace,$50M,Seed + Series A,AI / Capital Markets,San Francisco / New York,AI platform for institutional financial data. SF and NYC-based.,Not disclosed,Capital markets AI with NYC presence. Institutional financial data = Vivienne's IB background is directly relevant. BD and finance leadership needed.,Institutional capital markets + AI = ideal intersection for Vivienne's IB + tech background. BD or VP Finance role.,"StrictlyVC, FINSmes",2026-02-26
8,Cicada,$13.5M,Series A,Capital Markets / Fintech,"New York, NY",Electronic trading platform connecting institutional capital to Latin American local-currency markets. NYC-based.,Not disclosed,NYC capital markets fintech. Institutional trading = perfect fit for Vivienne's IB/capital markets background. Series A = building leadership team.,NYC capital markets startup at Series A. VP Finance or Head of BD for institutional relationships.,"StrictlyVC, FINSmes",2026-02-26
8,NationGraph,$18M,Series A,GovTech / AI,"San Francisco, CA",AI-native intelligence platform for businesses selling to the government.,Not disclosed,GovTech/defense-adjacent AI platform. $18M Series A = building BD team for government sales. Vivienne's infrastructure policy background directly relevant.,GovTech AI platform needs senior BD leader with government/defense relationships. Infrastructure policy background is differentiator.,FINSmes,2026-02-26
7,Gambit Security,$61M,Seed,Cybersecurity,TBD,Cyber resilience platform.,Not disclosed,Cybersecurity with outsized seed ($61M). Likely building fast. Location TBD.,Massive seed round signals aggressive growth plans. VP Finance and BD hires likely early.,StrictlyVC,2026-02-24
