Score,Company,Job_Title,Location,Work_Arrangement,Salary,URL,Posted_Date,Board,Role_Category,Sector,Score_Rationale,Source_Date,Search_Batch,Found_On,First_Seen_Date,Last_Seen_Date,Times_Seen,Status,Interest,Interest_Notes,Applied_Date
75,Alger,Equity Research Analyst - Healthcare L/S Equity,"New York, NY",In-Office,,https://www.linkedin.com/jobs/view/equity-research-analyst-healthcare-l-s-equity-at-alger-3711174637,,LinkedIn,Research/Analyst,Asset Management,Moderate fit: buy-side L/S equity research at Alger supporting PM. Healthcare sector differs from TMT but research methodology aligns. 3+ years experience requirement is below Aaron's seniority. NYC location ideal.,2026-02-16,Batch_Week_216,LinkedIn,2026-02-16,2026-02-16,1,NEW,,,
95,Arootah (Client Role),Investment Analyst - Long/Short Equity (TMT & Consumer),"New York, NY",In-Office,"$190,000-$200,000",https://www.linkedin.com/jobs/view/4370381391,,LinkedIn,Research/Analyst,Hedge Fund,Ideal fit: TMT & Consumer L/S equity at a hedge fund. $190K-$200K meets target. NYC on-site. Fundamental research and financial modeling align perfectly with Aaron's skills. Direct buy-side transition opportunity.,2026-02-09,Batch_Week_209,LinkedIn,2026-02-09,2026-02-09,2,NEW,,,
73,Arootah,Consultant - Portfolio Manager (Fractional/Contract),Remote,Remote,,https://jobs.lever.co/arootah/07f79048-131b-4a9d-94a6-8e6f8bacc1f1,,Lever,Portfolio Manager,Hedge Fund,Moderate fit: HF consulting but requires 10+ years PM experience. Aaron has research not PM background. Remote flexibility positive. Contract nature less ideal.,2026-02-09,Batch_Week_209 | Batch_Week_216,Lever,2026-02-09,2026-02-16,3,REPEAT,,,
84,Arootah,Consultant Due Diligence Investment Analyst,Remote,Remote,$275-$400/hour,https://jobs.lever.co/arootah/9013cb10-c8f4-4ac1-91e3-8f9b145058f4,,Lever,Research/Analyst,Hedge Fund,Strong fit: hedge fund due diligence consulting leveraging equity research expertise. Excellent hourly rate ($275-$400/hr). Remote flexibility. Contract nature less ideal than full-time.,2026-02-09,Batch_Week_209,Lever,2026-02-09,2026-02-09,2,NEW,,,
70,BlackRock,VP - Equity Quant Research Analyst (Income & Value Team),"New York, NY",Hybrid,"$147,500-$209,500",https://careers.blackrock.com/job/20268558/fundamental-equities-vice-president-equity-quant-research-analyst-income-value-investment-team-new-york-ny/,,Company Careers,Research/Analyst,Asset Management,"Moderate fit: VP-level at world's largest asset manager with $147.5K-$209.5K base. However, quant-focused research integration differs from Aaron's fundamental equity research approach. Strong benefits package.",2026-02-16,Batch_Week_216,Company Careers,2026-02-16,2026-02-16,1,NEW,,,
80,BTIG,Associate Director of Equity Research,"New York, NY",In-Office,,https://boards.greenhouse.io/btig27/jobs/7724790002,,Greenhouse,Research/Analyst,Investment Bank,Good fit: senior equity research leadership at boutique IB. Similar to current sell-side role but with management scope. NYC location ideal. Salary likely competitive but not listed.,2026-02-09,Batch_Week_209,Greenhouse,2026-02-09,2026-02-16,2,REPEAT,,,
83,Chicago Trading Company,Equity Research Analyst,"Chicago, IL",In-Office,"$200,000-$225,000",https://www.linkedin.com/jobs/view/4360001234,,LinkedIn,Research/Analyst,Hedge Fund,Good fit: equity research at trading firm with $200K-$225K salary. Chicago location requires relocation from NYC (lower location score). Fundamental research aligns well with Aaron's skills.,2026-02-09,Batch_Week_209,LinkedIn,2026-02-09,2026-02-09,2,NEW,,,
75,ClearBridge Investments,"Equity Research Analyst - Internet, Media, Technology & AI","New York, NY",Hybrid,,https://www.linkedin.com/jobs/equity-research-analyst-jobs-new-york,,LinkedIn,Research/Analyst,Asset Management,"Good coverage fit: Internet, Media, Technology, and AI at a leading asset manager. Not hedge fund but strong TMT alignment with Aaron's software expertise. NYC location ideal. Fundamental research approach.",2026-02-16,Batch_Week_216,LinkedIn,2026-02-16,2026-02-16,1,NEW,,,
71,Contradict Capital,Investment Analyst,"New York, NY",,"$100,000-$150,000",https://jobs.ashbyhq.com/Contradict%20Capital/d95e590b-aba4-4121-bd27-b122f0fba0da,,Ashby,Research/Analyst,Asset Management,Moderate fit: family office in NYC. Salary near but below target ($100K-$150K). 1-3 yrs requirement is junior for Aaron's seniority.,2026-02-09,Batch_Week_209,Ashby,2026-02-09,2026-02-09,2,NEW,,,
72,Edward Daniels Group,Portfolio Construction - Hedge Fund,"New York, NY",In-Office,,https://jobs.lever.co/edgrp/7fedafa0-adc7-4b4f-847f-14510b9a2b2a,,Lever,Other,Hedge Fund,Partial fit: HF in NYC but quant-focused. 'Systematic fundamental L/S' has some overlap. Quantitative requirements may not fully align.,2026-02-09,Batch_Week_209,Lever,2026-02-09,2026-02-09,2,NEW,,,
