Company,City_Country,Amount_USD,Round,Sector,Source,Lead_Investors,Description,Relevance_Score,Why_Relevant,Criteria_Matched,Recommended_ACTION
Aizy,Netherlands,€2M,Unknown,AI marketing,EU-Startups Feb 19,Unknown,AI marketing platform,8,Consumer/creative marketing AI in Europe matching geography,Sector ✓ Location ✓,REACH_OUT
Apptronik,Austin TX,$520M,Series A-X,AI robotics,FINSmes Feb 17,Unknown,AI-powered robotics platform,5,Robotics lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Breaker,Austin TX/Sydney,$6M,Seed,Defense tech,FINSmes Feb 19,Unknown,Defense technology startup,4,Defense tech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Code Metal,Boston MA,$125M,Series B,Code translation AI,StrictlyVC Feb 21,Salesforce Ventures + Accel,$1.25B valuation - AI code translation,5,Enterprise software lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Codoxo,Duluth GA,$35M,Series C,Healthcare AI,FINSmes Feb 18,Unknown,Healthcare AI platform,4,Healthcare lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Cogent Security,San Francisco CA,$42M,Series A,AI cybersecurity,FINSmes Feb 19,Unknown,AI-powered cybersecurity,4,Enterprise security lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Copla,Vilnius,€6M,Series A,Fintech compliance,StrictlyVC Feb 20,Unknown,Fintech compliance platform,4,Fintech/B2B lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
CubaseBio,Sweden,Unknown,Unknown,Spatial biology,Sunday CET,Unknown,Spatial biology platform,4,Biotech lacks consumer/creative focus,Sector ✗ Stage ✗,MONITOR
DG Matrix,Morrisville NC,$60M,Series A,Energy/solid-state transformers,FINSmes Feb 19,Unknown,Energy/solid-state transformer technology,3,Energy infrastructure lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Efficient Computer,Pittsburgh PA,$60M,Series A,Energy-efficient processors,FINSmes Feb 19,Unknown,Energy-efficient processor manufacturer,3,Hardware manufacturer lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
EFEX,Menlo Park,€8M,Seed,Cross-border FX/fintech,StrictlyVC Feb 20,PayPal Ventures,Cross-border FX/fintech platform,4,Fintech lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Flinn.ai,Vienna,€20M,Unknown,Regulatory AI for medtech,StrictlyVC Feb 20,HV Capital,Regulatory AI for medical devices,5,European medtech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Fluidstack,NYC,$100M,Unknown,Cloud computing,StrictlyVC Feb 21,Google,$7.5B valuation (rumored) - Cloud computing,3,Enterprise cloud infrastructure lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Freeform,Hawthorne CA,€67M,Series B,3D printing/manufacturing AI,StrictlyVC Feb 20,Founders Fund,3D printing/manufacturing AI,6,Manufacturing/creative tech with strong funding,Sector ✓ Stage ✓,REACH_OUT
FYLD,London UK,€34M,Series B,AI infrastructure platform,FINSmes Feb 18,Unknown,AI infrastructure platform,4,Enterprise infrastructure lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Grotto AI,Berkeley,€10M,Seed,Real estate AI,StrictlyVC Feb 20,Iconiq,Real estate AI platform,4,Real estate lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Happyhotel,Germany,€7.7M,Series A,Hotel revenue AI,StrictlyVC Feb 20,Unknown,Hotel revenue management AI,6,Hotel/hospitality consumer-facing business in Europe,Sector ✓ Stage ✓ Location ✓,REACH_OUT
Helia Care,Scottsdale AZ,$3M,Unknown,Healthcare SaaS,FINSmes Feb 17,Unknown,Healthcare SaaS platform,4,Healthcare B2B lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Hook,NYC,€10M,Series A,Social music,StrictlyVC Feb 20,Khosla Ventures + Point72,Social music platform,7,Consumer/social platform with creative/music focus,Sector ✓ Stage ✓,REACH_OUT
Hybridity,Stockholm,€2M,Unknown,Regulatory compliance AI,EU-Startups Feb 19,Unknown,Regulatory compliance AI,4,B2B compliance lacks consumer/creative focus,Sector ✗ Stage ✗,MONITOR
inKind,Austin TX,$450M,Unknown,Restaurant commerce,FINSmes Feb 18,Unknown,Restaurant commerce platform,8,Consumer food/hospitality D2C platform with massive funding,Sector ✓ Stage ✓,REACH_OUT
InScope,NY,$14.5M,Series A,Financial reporting AI,StrictlyVC Feb 20,Norwest,Financial reporting AI,4,B2B enterprise finance lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Jump,Salt Lake City UT,$80M,Series B,AI for financial advisors,FINSmes Feb 20,Insight Partners,AI platform for financial advisors,4,B2B fintech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Kana,San Francisco CA,$15M,Seed,AI agents for media,FINSmes Feb 19,Unknown,AI agents for media,7,Creative media platform with consumer focus,Sector ✓ Stage ✓,REACH_OUT
Kombo,NYC,€25M,Series A,HR integration platform,StrictlyVC Feb 20,Volition Capital,HR integration platform,3,B2B HR software lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Korsana Biosciences,Waltham MA,$175M,Unknown,Biotech/neurodegenerative,FINSmes Feb 19,Wellington + TCGX,Biotech/neurodegenerative diseases,3,Biotech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
LanzaJet,Chicago IL,$47M,Unknown,Sustainable aviation fuel,FINSmes Feb 20,IAG + Shell,Sustainable aviation fuel,4,Energy company lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
mea Platform,Germany,€42.2M,Unknown,Insurance AI,EU-Startups Feb 19,Unknown,Insurance AI platform,4,B2B insurance lacks consumer/creative/D2C focus,Sector ✗ Stage ✓,MONITOR
Moab,NYC,€16M,Seed+A,Equipment rental OS,FINSmes Feb 18,Unknown,Equipment rental OS platform,6,B2B equipment platform lacks consumer focus,Sector ✗ Stage ✓,MONITOR
Mondra,London UK,€11.8M,Series A,Supply chain intelligence AI,EU-Startups Feb 19,Unknown,Supply chain intelligence AI,4,B2B supply chain lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Monark,NYC,$8.1M,Unknown,Fintech/brokerage,FINSmes Feb 19,F-Prime,Fintech/brokerage platform,5,B2B fintech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
NANDO,Turin,€3.3M,Unknown,Waste optimization,EU-Startups Feb 19,Unknown,Waste optimization platform,4,Waste tech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Newity,Chicago,€11M,Unknown,SBA loans fintech,StrictlyVC Feb 20,CMT Digital,SBA loans fintech platform,4,B2B fintech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Odynn,NYC,$9.5M,Seed,Fintech/Travel loyalty,FINSmes Feb 20,Bonfire + Fiat Ventures,Fintech/Travel loyalty platform,7,Travel/loyalty consumer tech platform,Sector ✓ Stage ✓,REACH_OUT
Onodrim Industries,Amsterdam NL,€40M,Seed,European defense tech,FINSmes Feb 18,Unknown,European defense technology,3,Defense tech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Onshore,NYC,$31M,Series B,AI tax platform,FINSmes Feb 19,Unknown,AI tax platform,4,B2B tax platform lacks consumer focus,Sector ✗ Stage ✓,MONITOR
OOVIE Studios,Lugano,€164K,Unknown,AI film/entertainment,EU-Startups Feb 19,Unknown,AI film/entertainment studio,9,Creative entertainment platform in Europe matching all criteria,Sector ✓ Location ✓ Stage ✓,REACH_OUT
Ownwell,Austin TX,$50M,Series B,Property tax tech,FINSmes Feb 20,Alpha Edison + Mercato,Property tax technology,4,B2B property/fintech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Payra,Nashville TN,$15M,Unknown,B2B payments,FINSmes Feb 19,Edison Partners,B2B payments platform,3,B2B fintech lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
Plato,Berlin,€12.2M,Unknown,AI for wholesale distributors,EU-Startups Feb 19,Unknown,AI for wholesale distributors,4,B2B wholesale lacks consumer/creative focus,Sector ✗ Stage ✓,MONITOR
