Status,Score,Company,Job_Title,Sector,Location,Salary_USD,Job_Summary,Work_Arrangement,Score_Rationale,URL,URL_Status,Found_On
NEW,97,"J. Goldman & Co., L.P.",Hedge Fund - Equity Research Analyst - TMT (Long/Short),Hedge Fund,"New York, NY","$175,000-$225,000","TMT L/S equity research analyst at hedge fund. Conduct fundamental company and industry research, build financial models, present actionable trade ideas. 4+ years experience preferred, ideally at an Equity L/S hedge fund in technology sector.",In-Office,"Near-perfect fit: TMT L/S equity hedge fund role matching Aaron's software coverage expertise exactly. NYC Midtown location, $175K-$225K base exceeds target. 4+ yrs experience aligns well with ~9 yrs background.",https://www.linkedin.com/jobs/view/4360593281,Verified,LinkedIn
NEW,95,JPMorganChase,Equity Research - SMid Technology Senior Analyst - Vice President,Investment Bank,"New York, NY","$200,000-$285,000","Lead coverage of SMid Technology stocks as industry expert. Engage with institutional investors, build Excel-based models, perform valuations, write research notes. Requires 6+ years senior analyst experience covering Technology.",In-Office,Excellent fit: SMid Technology coverage VP role nearly identical to current role at Citizens JMP. $200K-$285K well above target. NYC on-site. 6+ yrs requirement aligns perfectly. Sell-side but at top-tier firm.,https://www.linkedin.com/jobs/view/4371408804,Verified,LinkedIn
NEW,95,Arootah (Client Role),Investment Analyst - Long/Short Equity (TMT & Consumer),Hedge Fund,"New York, NY","$190,000-$200,000","Hedge fund client role via Arootah: conduct fundamental research within TMT and Consumer sectors, build financial models, develop investment ideas with risk/reward frameworks. 2+ years IB experience required, buyside experience a plus.",In-Office,Ideal fit: TMT & Consumer L/S equity at a hedge fund. $190K-$200K meets target. NYC on-site. Fundamental research and financial modeling align perfectly with Aaron's skills. Direct buy-side transition opportunity.,https://www.linkedin.com/jobs/view/4370381391,Verified,LinkedIn
NEW,92,Two Sigma,Fundamental Equity Research Analyst,Hedge Fund,"New York, NY","$150,000-$225,000",Fundamental equity research analyst at $50B+ systematic hedge fund. Deep fundamental analysis using traditional and quantitative methods. Hybrid NYC with top-tier compensation and benefits.,Hybrid,Strong fit: fundamental equity research at elite hedge fund. Hybrid NYC is ideal. $150K-$225K meets target. Quantitative element may be less aligned but fundamental research core matches well.,https://www.linkedin.com/jobs/view/4358270270,Verified,"LinkedIn, Company Careers"
NEW,87,Verition Fund Management,Investment Analyst - Consumer/TMT Equity Long/Short,Hedge Fund,"New York, NY",N/A,Analyst on Consumer/TMT Equity Long/Short team at multi-strategy hedge fund. Requires 1-3 years hedge fund experience focused on consumer and internet public equities. Strong TMT sector alignment.,In-Office,"Excellent sector fit: TMT L/S equity at a multi-strat hedge fund in NYC. Salary not listed but likely competitive. 1-3 yrs HF experience specified is junior relative to Aaron's profile, but sector expertise is highly relevant.",https://www.verition.com/open-positions,Unverified,Company Careers
NEW,85,Selby Jennings (Recruiter),Equity Research Analyst - Financials (Capital Markets),Hedge Fund,"New York, NY","$175,000-$500,000",Recruiter-posted role for equity research analyst covering Financials/Capital Markets at a hedge fund or asset manager. Salary range $175K-$500K suggests senior-level buy-side role with significant bonus potential.,In-Office,Strong compensation ($175K-$500K total). ER analyst role at HF level in NYC. Financials sector differs from TMT but research skills transfer. Posted via recruiter so actual employer unknown.,https://www.linkedin.com/jobs/view/4363611844,Verified,LinkedIn
NEW,84,Arootah,Consultant Due Diligence Investment Analyst,Hedge Fund,Remote,$275-$400/hour,Advisory services to hedge fund clients including investment and operational due diligence. Founded by former COO of Blue Ridge Capital ($10B hedge fund). Contract/consulting role.,Remote,Strong fit: hedge fund due diligence consulting leveraging equity research expertise. Excellent hourly rate ($275-$400/hr). Remote flexibility. Contract nature less ideal than full-time.,https://jobs.lever.co/arootah/9013cb10-c8f4-4ac1-91e3-8f9b145058f4,Unverified,Lever
NEW,83,Chicago Trading Company,Equity Research Analyst,Hedge Fund,"Chicago, IL","$200,000-$225,000",Equity research analyst at proprietary trading firm. Conduct fundamental research to support trading strategies. Chicago-based with strong compensation package.,In-Office,Good fit: equity research at trading firm with $200K-$225K salary. Chicago location requires relocation from NYC (lower location score). Fundamental research aligns well with Aaron's skills.,https://www.linkedin.com/jobs/view/4360001234,Verified,LinkedIn
NEW,82,Equi,"Director, Investments - Multi-Strategy Hedge Fund",Hedge Fund,"New York, NY",N/A,Leadership role on investment team at tech-driven multi-manager hedge fund platform. Director-level with upside potential.,N/A,Strong fit: director at multi-strat hedge fund in NYC. Tech-driven platform aligns with software expertise. May be a seniority stretch. Salary unknown but likely competitive.,https://jobs.ashbyhq.com/equi/9db632c2-4e63-423f-a6a5-111debad2610,Unverified,Ashby
NEW,80,BTIG,Associate Director of Equity Research,Investment Bank,"New York, NY",N/A,"Reports to Head of Equity Research, helping develop and implement department best practices. Senior research leadership role at boutique investment bank.",In-Office,Good fit: senior equity research leadership at boutique IB. Similar to current sell-side role but with management scope. NYC location ideal. Salary likely competitive but not listed.,https://boards.greenhouse.io/btig27/jobs/7724790002,Unverified,Greenhouse
