Score,Company,Job_Title,Location,Work_Arrangement,Salary,URL,Posted_Date,Board,Role_Category,Sector,Score_Rationale,Source_Date,Search_Batch,Found_On,First_Seen_Date,Last_Seen_Date,Times_Seen,Status,Interest,Interest_Notes,Applied_Date
77,Air Apps,Digital Marketing Manager,"Lisbon, Portugal",In-Office,,https://jobs.ashbyhq.com/airapps/6e89f68d-bad6-4755-950f-10b537c191d5,N/A,Ashby,,Consumer Tech / Mobile Apps,"Lisbon-based consumer tech company with 100M+ downloads and offices in Lisbon and San Francisco. Digital marketing execution focus rather than brand strategy, with limited overlap on Rosalind's core strategic skills. Good location and consumer industry fit but more hands-on digital marketing than strategic.",2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
80,Foxelli Group,Brand Manager - DTC E-commerce,Remote-Europe (EET timezone),Remote-Europe,"€18,000-€36,000 (annually after-tax equivalent)",https://foxelligroup.recruitee.com/o/e-commerce-brand-manager-2,N/A,recruitee.com,,D2C Brands,"Location: 25/30 (Remote-Europe); Skills: 23/25 (Brand strategy, creative direction, campaign execution, messaging, stakeholder comms - limited design literacy); Industry: 20/20 (D2C brands); Salary: 15/15 (€1,500-€3,000/mo competitive); Seniority: 10/10 (Manager level)",2026-02-16,Batch_Week_216,recruitee.com,2026-02-16,2026-02-16,1,NEW,,,
79,Foxelli Group,Marketing Manager - DTC E-commerce,Remote-Europe (EET timezone),Remote-Europe,"€18,000-€36,000 (annually after-tax equivalent)",https://nploy.net/jobs/marketing-and-communications-pr/remote-multiple-locations/marketing-manager-or-dtc-e-commerce-or-100percent-remote-eu1770889177/217527-X,N/A,nPloy,,D2C Brands,"Location: 25/30 (Remote-Europe); Skills: 22/25 (Creative direction, campaign development, performance analysis, brand strategy); Industry: 20/20 (D2C brands); Salary: 12/15 (N/A listed); Seniority: 8/10 (Lead level)",2026-02-16,Batch_Week_216,nPloy,2026-02-16,2026-02-16,1,NEW,,,
72,Fundraise Up,Product Marketing Manager,Portugal (Remote),Remote-Global,,https://boards.greenhouse.io/fundraiseup/jobs/4501944005,N/A,Greenhouse,,Non-Profit Tech / SaaS,"Remote Portugal role with product marketing focus bridging product and customer needs. Non-profit fundraising tech sector is outside target D2C/agency industries. Some overlap on positioning, messaging, and cross-functional collaboration but limited brand strategy alignment.",2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
84,GetGround,Senior Product Marketing Manager - Fintech,"Lisbon, Portugal",Hybrid,,https://boards.greenhouse.io/getground/jobs/4139448004,N/A,Greenhouse,,Fintech / Proptech,"Lisbon-based fintech with strong overlap on brand positioning, messaging frameworks, and value propositions — core PMM skills that align directly with Rosalind's brand strategy experience. First PMM hire gives ownership and strategic influence. Fintech sector is outside target D2C/agency but has strong brand focus.",2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
84,Goodnotes,Head of Marketing,"Lisbon, Portugal",Hybrid,,https://job-boards.greenhouse.io/goodnotes/jobs/5588098004,N/A,Greenhouse,,Consumer Tech / Productivity,"Strong brand strategy alignment as a player-coach Head of Marketing role in Lisbon. Covers brand and product marketing, creative studio, social media, influencer marketing, and PR. Consumer tech brand with 25M+ MAU. Head-level may be a stretch for 8 years experience but player-coach framing suggests hands-on work.",2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
76,Grüns,Creative Strategist,Remote-Global,Fully Remote,"€55,000-€75,000 (est.)",https://job-boards.greenhouse.io/gruns/jobs/4976473008,N/A,greenhouse.io,,D2C Brands,"Location: 30/30 (Remote-Global); Skills: 20/25 (Creative strategy, brand development, design literacy, workshop facilitation - limited research); Industry: 15/20 (D2C consumer brands); Salary: 12/15 (N/A); Seniority: 10/10 (Manager/Senior level)",2026-02-16,Batch_Week_216,greenhouse.io,2026-02-16,2026-02-16,1,NEW,,,
82,How&How,Brand Strategist,London/Lisbon,Hybrid (London/Lisbon offices),"€55,000-€70,000 (est.)",https://www.ifyoucouldjobs.com/jobs/5726307320,N/A,ifyoucouldjobs.com,,Creative Agency,"Location: 30/30 (Remote-Global); Skills: 25/25 (Brand strategy, creative direction, design literacy, workshop facilitation, stakeholder comms); Industry: 20/20 (Creative agency); Salary: 12/15 (N/A); Seniority: 10/10 (Manager/Lead level)",2026-02-16,Batch_Week_216,ifyoucouldjobs.com,2026-02-16,2026-02-16,1,NEW,,,
85,Jobandtalent,Director Brand Marketing,Remote-Global,Remote-Global,"€120,000-€140,000 (approx)",https://jobs.lever.co/jobandtalent/af7df888-3a4a-49ef-99d4-653c2ad369e8,N/A,jobs.lever.co,,Creative Agency,"Location: 30/30 (Remote-Global); Skills: 25/25 (Brand strategy, creative direction, insight-led research, messaging frameworks, stakeholder comms, design literacy); Industry: 20/20 (Creative agency); Salary: 12/15 (N/A); Seniority: 10/10 (Manager/Lead level)",2026-02-16,Batch_Week_216,jobs.lever.co,2026-02-16,2026-02-16,1,NEW,,,
75,Jobgether (Partner Company),Head of Brand Strategy,Remote-Europe/Global,Remote-Global,"€90,000-€120,000 (est.)",https://jobs.lever.co/jobgether/92363484-d8e9-4ae1-9bdc-605a9c100dac,N/A,jobs.lever.co,,Various Sectors,"Location: 25/30 (Remote-Europe); Skills: 22/25 (Brand strategy, creative direction, communications, stakeholder management, limited design literacy); Industry: 15/20 (B2B with brand focus); Salary: 12/15 (N/A); Seniority: 8/10 (Director/Senior level)",2026-02-16,Batch_Week_216,jobs.lever.co,2026-02-16,2026-02-16,1,NEW,,,
