Company,City,Amount_USD,Round,Sector,Why_Relevant,Score,Source
FYLD,London,"$37M",Series B,AI/Infrastructure,"AI-powered frontline intelligence for global infrastructure. London HQ + AI + Series B scale = likely hiring BD/partnerships leads imminently.",9,EU-Startups
mea Platform,Europe,"$46M",Growth,AI/InsurTech,"Bootstrapped and profitable AI InsurTech now with €42.2M. Insurance/fintech crossover with massive growth trajectory. Will need partnerships team.",8,EU-Startups
Fluidstack,London,"$100M (rumour)",Growth,AI Infrastructure,"UK-based AI compute infrastructure. If confirmed, this is a massive round signaling aggressive hiring across BD and partnerships.",8,Sunday CET
Mondra,London,"$13M",Series A,AI/Supply Chain,"AI-powered supply chain intelligence platform. Series A in London = partnerships and BD hires coming within weeks.",8,EU-Startups
SurrealDB,London,"$21M",Growth,AI/Database,"Multi-model database for AI applications. London-based, growing fast. Developer ecosystem partnerships likely needed.",7,EU-Startups
Vizzia,France,"$35M",Series B,AI/Tech,"French AI company with €35M Series B. European partnerships expansion likely.",7,"Sunday CET, StrictlyVC"
Axelera AI,Europe,"$250M",Growth,AI/Semiconductors,"Massive $250M round for AI chip company. Scale hiring across commercial functions expected.",7,StrictlyVC
SolveAI,N/A,"$45M",Series A,AI,"$45M Series A signals aggressive growth. AI sector directly relevant. Watch for BD/partnerships roles.",7,StrictlyVC
Toyo,London,"$4M",Seed,AI/Developer Tools,"Secure AI agents for non-technical founders. London seed-stage — early but partnerships could emerge.",7,EU-Startups
Letter AI,N/A,"$40M",Series B,AI/Enterprise,"$40M Series B. Enterprise AI typically needs partnerships leads for channel strategy.",7,StrictlyVC
Stable Money,N/A,"$25M",Growth,Fintech,"Direct fintech alignment. $25M round = growth-stage hiring. Monitor careers page.",6,StrictlyVC
Xflow,N/A,"$17M",Series A,Fintech/Payments,"$16.6M Series A. Payments company — strong sector match for Phil. Likely hiring commercial team.",6,StrictlyVC
Agaton,Stockholm,"$9M",Growth,B2B SaaS/RevTech,"Customer conversations to revenue insights. B2B SaaS match but Stockholm-based.",6,EU-Startups
Plato,Berlin,"$13M",Growth,AI/B2B SaaS,"AI operating system for wholesale distributors. B2B SaaS/AI crossover. Berlin-based.",6,EU-Startups
SatVu,London,"$41M",Growth,Defense/Space Tech,"Thermal intelligence satellite constellation. UK defense-adjacent. $41M signals hiring.",6,Sunday CET
Portkey,N/A,"$15M",Series A,AI Infrastructure,"AI infrastructure company. $15M Series A = growth hiring phase.",6,StrictlyVC
Hybridity,Stockholm,"$2M",Seed,Fintech/RegTech,"Automate regulatory compliance through AI. Fintech-adjacent but early and Nordic.",5,EU-Startups
Comeryx Insurance,N/A,"$8M",Seed,InsurTech,"$7.5M seed for insurance tech. Fintech-adjacent.",5,StrictlyVC
Nimble,N/A,"$47M",Series B,N/A,"$47M Series B. Good scale for BD hiring but sector unclear.",5,StrictlyVC
Kombo,N/A,"$25M",Series A,HR Tech/Integration,"$25M Series A. HR tech integrations — partnerships-heavy business model.",5,StrictlyVC
