source,company_slug,company_name,title,role_family,location,eligibility_summary,eligible_latam_mode,eligible_dc_mode,eligible_portugal_mode,latam_relevance,company_sector,company_stage,company_geography_hq,company_priority_tier,us_investor_signal,url,updated,ats,health_status,health_detail,posting_age_days
api,remotecom,Remotecom,Global Payroll Implementation Country Lead - Germany,market_entry,Remote - DACH,"L?, D?, P?",unclear,unclear,unclear,direct,unknown,unknown,unknown,1,needs_verification,https://job-boards.greenhouse.io/remotecom/jobs/7735395003,2026-05-20T12:43:07-04:00,Greenhouse,open,api-live,
api,remotecom,Remotecom,Global Payroll Implementation Country Lead - Germany,market_entry,Remote - EMEA,P,false,false,true,direct,unknown,unknown,unknown,1,needs_verification,https://job-boards.greenhouse.io/remotecom/jobs/7741670003,2026-05-20T12:43:21-04:00,Greenhouse,open,api-live,
api,gitlab,Gitlab,"Senior Program Manager, Enterprise Technology & AI",program,"Remote, Bangalore","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,1,needs_verification,https://job-boards.greenhouse.io/gitlab/jobs/8584282002,2026-07-06T08:34:18-04:00,Greenhouse,open,api-live,
api,gitlab,Gitlab,"Vice President, Finance Strategy & Operations",strategic_ops,"Remote, US","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,1,needs_verification,https://job-boards.greenhouse.io/gitlab/jobs/8467198002,2026-06-05T16:18:10-04:00,Greenhouse,open,api-live,
api,firecrawl,Firecrawl,Head of Growth Marketing,growth_commercial,"San Francisco, CA (Hybrid) OR Remote (Americas, UTC-3 to UTC-10)","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,2,needs_verification,https://jobs.ashbyhq.com/firecrawl/252206c1-56a2-4598-abef-d2ed9e2295de,2026-07-13T00:04:16.535+00:00,Ashby,open,api-live,
api,pivotal-health,Pivotal Health,Client Strategy & Operations Manager,strategic_ops,Remote - NY,"L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,2,needs_verification,https://jobs.ashbyhq.com/pivotal-health/ce4e43d1-7add-408b-ae2d-c1205509527d,2026-05-20T22:25:49.748+00:00,Ashby,open,api-live,
api,hightouch,Hightouch,Go-to-Market Engineer,growth_commercial,"Remote, United States","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/hightouch/jobs/5823552004,2026-06-16T17:07:05-04:00,Greenhouse,open,api-live,
api,nift,Nift,"General Manager, EMEA / UK ",market_entry,"Remote, UK","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/nift/jobs/4917411007,2026-01-13T16:05:47-05:00,Greenhouse,open,api-live,
api,coinbase,Coinbase,"Senior Program Manager, Contracts & Analytics",program,Remote - USA,"L, D, P?",true,true,unclear,none,unknown,unknown,unknown,3,needs_verification,https://www.coinbase.com/careers/positions/8008047?gh_jid=8008047,2026-06-17T22:01:46-04:00,Greenhouse,open,api-live,
api,upwork,Upwork,"Sr Director, Corporate Development",growth_commercial,"Palo Alto, California, United States; Remote","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/upwork/jobs/7110133003,2026-05-11T14:20:37-04:00,Greenhouse,open,api-live,
api,apolloio,Apolloio,"Go-To-Market Engineer II, Mid-Market",growth_commercial,"Remote, United States","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/apolloio/jobs/5918855004,2026-07-06T18:51:37-04:00,Greenhouse,open,api-live,
api,apolloio,Apolloio,"Go-To-Market Engineer I, SMB",growth_commercial,"Remote, United States","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/apolloio/jobs/5778017004,2026-07-06T18:51:37-04:00,Greenhouse,open,api-live,
api,aledade,Aledade,"Director, Payer Go-To-Market (GTM), Remote",growth_commercial,"Remote, United States","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://jobs.lever.co/aledade/660b03e4-e1db-4ac2-bb9e-c74666f52189,2026-07-07T12:00:31.868000,Lever,open,api-live,
api,includedhealth,Includedhealth,Go-To-Market Enablement Manager,growth_commercial,Remote,"L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://jobs.lever.co/includedhealth/e5475693-8b26-4166-ad01-db9bcbbf2f96,2026-06-26T15:26:50.581000,Lever,open,api-live,
api,rula,Rula,Strategy & Operations Manager  (Remote),strategic_ops,Remote - United States,"L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://jobs.ashbyhq.com/rula/3013fcdb-0e71-42f2-b3f1-7e8e3b3a2c44,2026-06-18T19:42:02.894+00:00,Ashby,open,api-live,
