Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,Found_On
NEW,82,Direct CoS match (exec support at Anzu/JPM); AI/tech sector aligns with AI automation skills; Remote-friendly,Deepgram,Chief of Staff,AI/Speech Tech,Remote - US,N/A,Remote,N/A,"Chief of Staff at Deepgram, a speech AI company. Supports executive team with strategic planning, business operations, investor relations, and cross-functional program management.",https://jobs.ashbyhq.com/Deepgram/8e81f991-64d8-4cf2-883f-3fc8aae22fb7,Ashby
NEW,78,Direct CoS match (exec support at Anzu/JPM); Strong fintech/finance sector fit (JPM/SVB background); Remote-friendly,Summer,Chief of Staff,Fintech,Remote - US,N/A,Remote,N/A,"Chief of Staff at Summer, a fintech company helping borrowers navigate student loan repayment. Supports CEO with strategic planning and company operations.",https://job-boards.greenhouse.io/summer/jobs/7539429003,Greenhouse
NEW,78,Direct CoS match (exec support at Anzu/JPM); Strong fintech/finance sector fit (JPM/SVB background); Remote-friendly,KOHO,Chief of Staff,Fintech,Remote - Canada,N/A,Remote,N/A,"Chief of Staff at KOHO, a Canadian fintech company offering free bank accounts and financial tools. Supports leadership with strategic initiatives, operational excellence, and stakeholder management.",https://jobs.ashbyhq.com/koho/f33f16e6-62fd-4018-91bd-da3aa87a9e67,Ashby
NEW,78,Direct CoS match (exec support at Anzu/JPM); Strong fintech/finance sector fit (JPM/SVB background); Remote-friendly,april,Chief of Staff,Fintech/Tax Tech,Remote,N/A,Remote,N/A,"Chief of Staff at april, a tax technology company. Supports CEO with strategic planning, business operations, and key growth initiatives.",https://jobs.ashbyhq.com/april/49978b94-2322-471e-af6f-2ad842c57e9c,Ashby
NEW,76,Direct CoS match (exec support at Anzu/JPM); Strong fintech/finance sector fit (JPM/SVB background),Alt,Chief of Staff,Fintech/Alternative Investments,New York City,N/A,In-Office,"$200,000 - $225,000","Chief of Staff at Alt, an alternative asset investment platform. Supports CEO with strategic planning, investor relations, and business development.",https://job-boards.greenhouse.io/alt/jobs/7595398003,Greenhouse
NEW,75,Direct CoS match (exec support at Anzu/JPM); Strong fintech/finance sector fit (JPM/SVB background); Remote-friendly,LiveFlow,Chief of Staff,Fintech,Remote,N/A,Remote,N/A,"Chief of Staff at LiveFlow, a financial reporting automation platform. Supports founders with strategic operations, business development, and scaling initiatives.",https://jobs.ashbyhq.com/liveflow/df3eb756-fcb2-4a0a-adff-1556c28b919a,Ashby
NEW,74,Strategic initiatives align with Anzu/DoD program leadership; Insurtech matches Nationwide experience; Remote-friendly,Oscar Health,"Manager, Strategic Initiatives",Insurtech,Remote - US,N/A,Remote,N/A,"Manager of Strategic Initiatives at Oscar Health, an insurtech company. Leads high-priority cross-functional projects, develops strategic frameworks, and supports executive decision-making.",https://boards.greenhouse.io/oscar/jobs/7326073,Greenhouse
NEW,73,BD aligns with Anzu portfolio company partnerships; Strong fintech/finance sector fit (JPM/SVB background); LATAM location aligns with interest,Nubank,Strategy and Business Development Senior Consultant,Fintech,Mexico City - Hybrid,Spanish,Hybrid,N/A,"Strategy and BD role at Nubank Mexico. Develops growth strategies, manages partnerships, and drives business development initiatives in the Mexican fintech market.",https://job-boards.greenhouse.io/nubank/jobs/6744610,Greenhouse
NEW,73,Partnerships role matches Anzu BD/capital formation experience; Strong fintech/finance sector fit (JPM/SVB background); Remote-friendly,dLocal,Commercial Partnerships Manager,Fintech/Payments,Mexico City - Remote,Spanish,Remote,N/A,"Commercial Partnerships Manager at dLocal, a cross-border payments platform. Manages commercial partner relationships and drives partnership revenue across LATAM markets.",https://jobs.lever.co/dlocal/c2ff896c-7749-4d78-a12b-46442aebe122,Lever
NEW,72,Direct CoS match (exec support at Anzu/JPM); Health tech is adjacent to insurance/fintech background; Remote-friendly,Headway,Chief of Staff,Health Tech,Remote - US,N/A,Remote,N/A,"Chief of Staff role at a mental health tech company supporting executive leadership with strategic planning, cross-functional program management, and organizational operations.",https://job-boards.greenhouse.io/headway/jobs/5597480004,Greenhouse
