Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On
NEW,91,"Premier fintech unicorn CoS-to-CEO role. IPO readiness work leverages finance/strategy MBA background. Payments sector directly aligns with banking experience. Global scope matches VP seniority (40/40 skills, 35/35 industry, 16/25 experience).",Airwallex,Chief of Staff - CEO,Fintech/Payments,London,N/A,Hybrid,N/A,"Part of CEO office driving key strategic initiatives globally. Responsibilities include cross-functional deep dives, revenue growth, cost optimization, M&A, and IPO readiness. 100,000+ business customers.",https://jobs.ashbyhq.com/airwallex/26923274-95b8-4365-b8ab-fa09e6755004,Unverified,Ashby
NEW,88,"Direct fintech/banking alignment at UK's leading neobank. CEO-level CoS role matches operator and strategic execution background perfectly. 10+ year requirement is a stretch but VP experience is strong (36/40 skills, 35/35 industry, 17/25 experience).",Monzo,Chief of Staff,Fintech/Banking,London,N/A,Hybrid,N/A,Work with Monzo's leadership team to deliver critical projects and own strategic initiatives. Requires 10+ years experience driving outcomes through influence and consensus building.,https://boards.greenhouse.io/monzo/jobs/2289088,Unverified,Greenhouse
NEW,88,"Director-level fintech partnerships at leading corporate card company. Role directly matches Phil's BD/partnerships expertise. High comp reflects seniority match (40/40 skills, 35/35 industry, 13/25 experience - NY not DC but relevant).",Ramp,Director - Product Partnerships,Fintech/Corporate Cards,New York,N/A,Hybrid,"$255,000-$300,000","Define and execute partnerships strategy with most critical partners. Negotiate major commercial and legal deals. 8+ years experience in BD, Partnerships, or Product required. $255k-$300k + equity.",https://jobs.ashbyhq.com/ramp/224449f1-5164-41af-8c5b-d3cb33cf6621,Unverified,Ashby
NEW,87,"Direct fintech/banking sector match at digital bank. CEO-reporting CoS role perfectly aligns with operator and strategic execution background. Green banking is a growing niche (36/40 skills, 35/35 industry, 16/25 experience).",Tandem Bank,Chief of Staff,Fintech/Banking,London,N/A,Hybrid,N/A,"Report to the CEO, working across all aspects of cross-functional projects. Tandem is the UK's greener digital bank with £1.5bn in assets under management, focused on sustainable finance.",https://boards.greenhouse.io/tandemmoneylimited/jobs/6206792002,Unverified,Greenhouse
NEW,84,"Strong CoS-to-CEO role matching Phil's operator background. Cross-functional strategic execution aligns with JPMorgan experience. Food tech sector is less aligned but company scale is excellent (36/40 skills, 22/35 industry, 26/25 experience - capped at 25).",Deliveroo,Chief of Staff to the CEO,Food Tech/Marketplace,London,N/A,Hybrid,N/A,"Support the CEO and Executive team with operational support, mission-critical projects, and strategic initiatives. Highly cross-functional role with broad exposure across every dimension of the business.",https://boards.greenhouse.io/deliveroo/jobs/4164199,Unverified,Greenhouse
NEW,83,"Phil's VC background (Interstate, Techstars, NCT) uniquely qualifies for VC partnership development. HR Tech/fintech adjacent sector. Remote-global works for London base (38/40 skills, 25/35 industry, 20/25 experience).",Deel,Partnerships Manager - Venture Capital,HR Tech/Fintech,Remote,N/A,Remote-Global,N/A,Drive venture capital partnerships for global employment and HR platform. Build relationships with VC ecosystem.,https://jobs.ashbyhq.com/deel/90aefa1d-30b5-4b43-82c2-53348fbc64b9,Unverified,Ashby
NEW,82,"Phil's VC background (Interstate, Techstars, NCT) is directly relevant. Zero-to-one build at angel network matches startup banking experience. Small team = high impact (38/40 skills, 28/35 industry, 16/25 experience).",CVX Ventures,Chief of Staff,Venture Capital,London,N/A,Hybrid,N/A,"Lead CVX Ventures through next phase of expansion, building Europe's largest and most active angel investor network. Team of 20 across Copenhagen, London, and Oslo.",https://job-boards.greenhouse.io/cvx/jobs/6600987003,Unverified,Greenhouse
NEW,82,"Fintech partnerships at scale directly matches expertise. Corporate card/payments sector aligns with banking background (36/40 skills, 32/35 industry, 14/25 experience).",Ramp,Partnerships Manager,Fintech/Corporate Cards,New York,N/A,Hybrid,N/A,"Build and manage partnerships for financial operations platform combining payments, corporate cards, vendor management. 45,000+ businesses, saved $10B.",https://jobs.ashbyhq.com/ramp/ce7ac24a-2941-4daf-a762-359d16885240,Unverified,Ashby
NEW,82,"Credit/financial data sector aligns well with banking background. CEO-reporting CoS matches operator profile. Hybrid London works (34/40 skills, 30/35 industry, 18/25 experience).",Creditinfo Group,Chief of Staff,Fintech/Credit,London,N/A,Hybrid,N/A,Chief of Staff reporting to Group CEO at credit information and analytics company. Hybrid with 2 days in London office.,https://uk.linkedin.com/jobs/view/chief-of-staff-at-creditinfo-group-3798149683,Unverified,LinkedIn
NEW,81,"Payments fintech aligns with banking and fintech background. Partnership acquisition role directly matches BD/partnership development expertise. UK & FR scope is manageable (35/40 skills, 32/35 industry, 14/25 experience).",Mollie,Technology Partnerships Acquisition Manager - UK & FR,Fintech/Payments,London,N/A,Hybrid,N/A,Drive technology partnership acquisition across UK and France for payments infrastructure company. Build integrations and platform partnerships.,https://jobs.ashbyhq.com/mollie/0141f0ed-59a1-4b32-b985-3c42fa6b64ac,Unverified,Ashby
