Status,Score,Score_Rationale,Company,Job_Title,Sector,Location,Language_Requirement,Work_Arrangement,Salary_USD,Job_Summary,URL,URL_Status,Found_On,Close_Reason,Posting_Age_Days
NEW,85,CreatorDeck — Direct role match. API-verified live posting.,CreatorDeck,Director of Partnerships,Creator Economy / Tech,Remote,N/A,Remote-Global,N/A,API-verified live posting at CreatorDeck. Director of Partnerships role located in Remote.,https://jobs.lever.co/creatordeck/4350161b-39af-472b-8c91-63c048b8229b,Open,"Lever, API-verified",,
REPEAT,83,"Chief of Staff at Formance, a fintech startup. Full remote in France/Europe. 6-month maternity cover contract limits appeal but strong role match. [Sector adj: +5]",Formance,Chief of Staff (6-month fixed-term contract),Fintech / Open Source,Remote (France/Europe),N/A,Remote-Global,N/A,"Maternity leave cover spanning strategy, operations, finance, and governance at Formance, an open-source fintech.",https://jobs.ashbyhq.com/formance/2cdde399-3119-4724-8055-88bda00f98ca,Open,"Ashby, API-verified",,11
NEW,78,Revenue Strategy & Operations Manager at 360Learning. International team of 10 professionals. B2B SaaS environment.,360Learning,Revenue Strategy & Operations Manager,EdTech / SaaS,Remote (International),N/A,Remote-Global,N/A,"Join an international Strategy & Operations team of 10 professionals at 360Learning, a B2B SaaS company in collaborative learning.",https://jobs.lever.co/360learning/a75bf78f-b20c-42fd-8546-3f45479cf520,Open,"Lever, API-verified",,
NEW,77,Director of Partnerships at Modus Create. Shaping global technology partnerships that drive measurable outcomes. Deep expertise in alliance development.,Modus Create,Director of Partnerships,Technology / Consulting,Remote (Global),N/A,Remote-Global,N/A,"Shape how the company builds, scales, and manages global technology partnerships. Deep expertise in alliance development and partner-sourced revenue growth.",https://app.welcometothejungle.com/jobs/CgDQjpsd,Open,WTTJ,,43
NEW,74,Apollo.io — Strong strategy/ops match. API-verified live posting.,Apollo.io,GTM Strategy & Operations Manager - Analytics & Intelligence,SaaS / Sales Tech,"Remote, Canada",N/A,Remote-Global,N/A,"API-verified live posting at Apollo.io. GTM Strategy & Operations Manager - Analytics & Intelligence role located in Remote, Canada.",https://job-boards.greenhouse.io/apolloio/jobs/5762734004,Open,"Greenhouse, API-verified",,
REPEAT,69,Trust Wallet — Relevant BD/partnerships match. Sector adj: -15. API-verified live posting.,Trust Wallet,Head of Business Development ,Crypto / Web3 / Fintech,Remote - Global,N/A,Remote-Global,N/A,API-verified live posting at Trust Wallet. Head of Business Development  role located in Remote - Global.,https://jobs.ashbyhq.com/trust-wallet/74105af8-da2c-4a4c-a8a6-8ea8a04381fc,Open,"Ashby, API-verified",,31
NEW,65,"Apollo.io — Relevant BD/partnerships match. Location: Hybrid, London. API-verified live posting.",Apollo.io,"Go-To-Market Engineer (Success Architect), Named (EMEA)",SaaS / Sales Tech,"Hybrid, London",N/A,Remote-Global,N/A,"API-verified live posting at Apollo.io. Go-To-Market Engineer (Success Architect), Named (EMEA) role located in Hybrid, London.",https://job-boards.greenhouse.io/apolloio/jobs/5781064004,Open,"Greenhouse, API-verified",,
NEW,,,sentient,Director of Operations/Strategy,,Remote - APAC ( Singapore ),,,,,https://jobs.ashbyhq.com/sentient/08c6b45b-79bb-48d7-8575-b42a7f87d6ac,Open,Ashby API,,18
NEW,,,dust,Strategic Operations,,Paris,,,,,https://jobs.ashbyhq.com/dust/3a8f8006-0a29-49f7-9023-dfd868763614,Open,Ashby API,,17
NEW,,,upwork,"Sr Director, Corporate Development",,"Palo Alto, California, United States; Remote",,,,,https://job-boards.greenhouse.io/upwork/jobs/7110133003,Open,Greenhouse API,,
NEW,,,apolloio,"Go-To-Market Engineer (Success Architect), Managed ",,"Remote, United States",,,,,https://job-boards.greenhouse.io/apolloio/jobs/5778017004,Open,Greenhouse API,,
NEW,,,apolloio,GTM Strategy & Operations Manager - Analytics & Intelligence,,"Remote, United States",,,,,https://job-boards.greenhouse.io/apolloio/jobs/5762733004,Open,Greenhouse API,,
NEW,,,opentable,"Senior Analyst, Revenue Strategy and Operations",,USA (Remote),,,,,https://job-boards.greenhouse.io/opentable/jobs/8466341002,Open,Greenhouse API,,
